com.samsung.shealth.stand_day_summary,6261011,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,786432,,2020-01-13 00:59:33.279,2020-01-12 05:00:04.637,PEzvKidhug,com.sec.android.app.shealth,52854c99-368c-6f34-821a-c4cfdbcffa38,1578787200000,
,0,,2019-11-29 05:00:04.706,2019-11-29 05:00:04.705,PEzvKidhug,com.sec.android.app.shealth,8e0882bc-9114-f0af-6832-a3b7532f5fac,1574985600000,
,0,,2019-11-08 05:00:23.472,2019-11-08 05:00:23.472,PEzvKidhug,com.sec.android.app.shealth,62e0fcc9-4140-8306-520e-b918199e5eb4,1573171200000,
,7340032,,2019-10-19 02:50:00.288,2019-10-18 04:00:05.793,PEzvKidhug,com.sec.android.app.shealth,ccccdf8e-0bd0-8539-59ef-24c52a57e413,1571356800000,
,0,,2019-10-21 04:00:03.640,2019-10-21 04:00:03.640,PEzvKidhug,com.sec.android.app.shealth,bc771d46-5eff-b33b-d81e-432149cf3d3b,1571616000000,
,0,,2020-11-28 05:00:04.500,2020-11-28 05:00:04.499,PEzvKidhug,com.sec.android.app.shealth,be37b801-1c96-3cdb-ae46-096b77cdf4e2,1606521600000,
,0,,2020-09-19 04:00:06.113,2020-09-19 04:00:06.113,PEzvKidhug,com.sec.android.app.shealth,b9f5ed38-dddd-0523-da86-dff7c6b1a986,1600473600000,
,0,,2020-10-24 04:00:05.678,2020-10-24 04:00:05.678,PEzvKidhug,com.sec.android.app.shealth,6b769451-b84f-bed3-66c3-b7f87255605a,1603497600000,
,0,,2020-04-19 19:28:23.205,2020-04-19 19:28:23.205,PEzvKidhug,com.sec.android.app.shealth,4b9cd3ea-1e65-34df-468f-c15cc591c02e,1587254400000,
,524288,,2021-07-03 23:27:32.312,2021-07-03 04:00:02.707,C2yRtg360R,com.sec.android.app.shealth,9d16a0b6-f2d0-f1dc-b717-70ca100bcb71,1625270400000,
,0,,2021-02-28 05:00:06.797,2021-02-28 05:00:06.797,PEzvKidhug,com.sec.android.app.shealth,09674d51-c44d-f72e-ff52-f60af4de35f7,1614470400000,
,0,,2019-09-08 04:00:05.227,2019-09-08 04:00:05.226,PEzvKidhug,com.sec.android.app.shealth,7efda1e5-4984-5ab5-c1cf-61f70be33bba,1567900800000,
,8192,,2021-03-30 17:24:07.676,2021-03-30 04:00:05.805,C2yRtg360R,com.sec.android.app.shealth,edc2aaeb-a8a4-f74a-6f9a-e6f48e7734db,1617062400000,
,0,,2019-11-25 05:00:04.882,2019-11-25 05:00:04.882,PEzvKidhug,com.sec.android.app.shealth,9ad6c1b0-241b-ff71-7d27-f22dedc425b3,1574640000000,
,0,,2021-01-17 05:00:07.655,2021-01-17 05:00:07.655,PEzvKidhug,com.sec.android.app.shealth,563c0c1d-f1fd-809b-5bad-b62c14a3d3db,1610841600000,
,0,,2019-10-08 04:00:04.705,2019-10-08 04:00:04.705,PEzvKidhug,com.sec.android.app.shealth,6e6a0b4a-e616-b636-0264-44816eb4cbd5,1570492800000,
,0,,2021-09-22 04:00:03.765,2021-09-22 04:00:03.765,C2yRtg360R,com.sec.android.app.shealth,95689c7c-ffcd-00e2-7db6-731c2f614988,1632268800000,
,0,,2020-05-14 04:00:03.565,2020-05-14 04:00:03.565,PEzvKidhug,com.sec.android.app.shealth,016a050d-dc0d-041f-9744-19f48d05f466,1589414400000,
,0,,2019-12-31 06:15:01.265,2019-12-31 06:15:01.265,PEzvKidhug,com.sec.android.app.shealth,f4347bba-0bec-1358-244b-796178d6338f,1577750400000,
