com.samsung.health.food_info,6261011,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
495.0,31.0,25.0,,50.0,MyFitnessPal Dinner,,100003-Wed Feb 21 00:00:00 EST 2018,0,430.0,12.0,20.0,2018-02-23 20:07:45.960,2018-02-23 20:07:45.960,0.0,45.0,0.0,27.0,MyFitnessPal Dinner,1.0,,65.0,410.0,,,EHdtKydEi4,,11.0,0.0,com.myfitnesspal.android,18.0,,99f0773a-9d9b-4b84-af17-14b247ebafd0,,
130.0,0.0,1.0,,0.0,MyFitnessPal Breakfast,,100001-Sun Apr 08 00:00:00 EDT 2018,0,121.0,3.0,34.0,2018-04-11 02:26:48.715,2018-04-11 02:26:48.715,2.5,10.0,14.0,14.0,MyFitnessPal Breakfast,3.0,,4.0,540.0,,,9wVta8KBzt,,4.5,0.0,com.myfitnesspal.android,13.0,,f296088e-9258-4fe7-9a28-adf926a75709,,
320.0,32.0,0.0,,40.0,MyFitnessPal Lunch,,100002-Sun Jan 14 00:00:00 EST 2018,0,500.0,12.0,6.0,2018-01-16 16:57:53.439,2018-01-16 16:57:53.439,0.0,24.0,0.0,0.0,MyFitnessPal Lunch,12.0,,60.0,240.0,,,EHdtKydEi4,,4.0,0.0,com.myfitnesspal.android,28.0,,29aef676-3505-4466-aa93-5c56293a0d9e,,
0.0,9.0,0.0,,90.0,MyFitnessPal Lunch,,100002-Mon Jan 08 00:00:00 EST 2018,0,630.0,0.0,22.5,2018-01-11 02:41:53.120,2018-01-11 02:41:53.120,0.0,22.5,0.0,0.0,MyFitnessPal Lunch,0.0,,67.5,315.0,,,EHdtKydEi4,,13.5,0.0,com.myfitnesspal.android,4.5,,2cdc9304-8947-4c1c-8032-cfbde6b505db,,
111.0,0.0,0.0,,0.0,"1 kcal, Per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2015-04-27 16:30:09.395,2015-04-27 16:30:09.395,0.028,0.28,0.002,0.0,Coffee,0.0,,0.0,2.0,mug (8 fl oz),,ScgltublDV,g,0.005,,com.sec.android.app.shealth,0.09,88.5,25df6fb1-2712-4026-b9c0-dcf5633f0616,1,
0.0,6.0,90.0,,30.0,MyFitnessPal Dinner,,100003-Fri Feb 02 00:00:00 EST 2018,0,645.0,11.0,41.0,2018-02-04 20:25:38.463,2018-02-04 20:25:38.463,0.0,29.0,0.0,31.0,MyFitnessPal Dinner,0.0,,32.0,510.0,,,EHdtKydEi4,,17.0,0.0,com.myfitnesspal.android,17.0,,d67bf259-af52-4d96-817d-dcf9899c87c0,,
,0.0,0.0,,0.0,"140 kcal, Per 1 can",,default-fatsecret-3650710,12,45.0,0.0,0.0,2016-11-04 16:33:07.853,2016-11-04 16:33:07.853,0.0,0.0,0.0,0.0,Coco-Cola Classic (12 oz)(Coca-Cola),39.0,,0.0,140.0,serving,,Q2GTsbBv8Q,oz,0.0,0.0,com.sec.android.app.shealth,39.0,,2709b2f4-5fdc-45fb-a09a-b5b3bd3f8ce6,1,
0.0,0.0,0.0,,0.0,MyFitnessPal Dinner,,100003-Fri Jan 05 00:00:00 EST 2018,0,125.0,11.0,32.0,2018-01-08 03:49:09.825,2018-01-08 03:49:09.825,0.0,6.0,0.0,31.0,MyFitnessPal Dinner,2.0,,8.0,340.0,,,EHdtKydEi4,,11.0,0.0,com.myfitnesspal.android,18.0,,e665848a-9fa2-4fb4-8a31-bb3f4b41e86a,,
311.292,11.854374,1.4673208,,46.912464,MyFitnessPal Dinner,,100003-Wed Apr 11 00:00:00 CDT 2018,0,119.8118,5.1616516,43.516468,2018-04-13 16:46:01.598,2018-04-13 16:46:01.598,17.23022,12.790457,6.106557,10.11706,MyFitnessPal Dinner,1.6862043,,10.6903925,605.9049,,,9wVta8KBzt,,13.630594,0.0,com.myfitnesspal.android,19.657566,,f77ad5d4-a3c9-4c0e-aa94-1f29ea962c9d,,
390.0,43.0,0.0,,140.0,MyFitnessPal Breakfast,,100001-Sun Jan 14 00:00:00 EST 2018,0,1480.0,13.0,34.5,2018-01-16 16:57:53.390,2018-01-16 16:57:53.390,0.0,67.5,0.0,2.0,MyFitnessPal Breakfast,40.0,,147.5,725.0,,,EHdtKydEi4,,18.0,0.0,com.myfitnesspal.android,44.5,,7d8e40d8-6c04-41ca-b01d-bbdc17e421d0,,
