com.samsung.shealth.activity.day_summary,6261011,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,7133,,3863279,,0,,2016-03-19 01:13:10.809,,2016-03-18 04:00:07.191,,,,60,3365000,106,,,,5040.975,,278.2963,7fef4b09-a755-4cae-858f-09dcbea5e89a.extra_data.json,OBFuvbOf82,74726,com.sec.android.app.shealth,3788553,44640000,7fef4b09-a755-4cae-858f-09dcbea5e89a,1458259200000,
,,,,2289,,1439115,,0,,2016-03-15 15:04:36.561,,2016-03-14 04:00:02.972,,,,60,120000,38,,,,1857.8597,,103.26998,949823a1-64f7-4069-baae-1a39fcbefa6f.extra_data.json,OBFuvbOf82,36841,com.sec.android.app.shealth,1402274,33480000,949823a1-64f7-4069-baae-1a39fcbefa6f,1457913600000,
,,,,1627,,1061691,,0,,2016-08-15 17:56:19.651,,2016-08-14 04:15:01.325,,,,60,60000,28,,,,1289.4099,,78.78999,6bbc9533-92be-4243-8c78-a255e5bcbc43.extra_data.json,OBFuvbOf82,19200,com.sec.android.app.shealth,1042491,43380000,6bbc9533-92be-4243-8c78-a255e5bcbc43,1471132800000,
,,,,6481,,4114740,,0,,2016-02-19 20:47:31.613,,2016-02-18 05:00:02.071,,,,60,540000,113,,,,4968.96,,269.78,edf72250-ec17-4756-b89a-04f093f56940.extra_data.json,OBFuvbOf82,7818,com.sec.android.app.shealth,4106922,46920000,edf72250-ec17-4756-b89a-04f093f56940,1455753600000,
null
,,,,12881,,7780624,,0,,2016-06-20 23:37:43.549,,2016-06-19 04:00:15.010,,,,60,1500000,213,,,,10416.329,,571.9899,f92868ea-696d-4b8c-beec-5244110517f0.extra_data.json,OBFuvbOf82,114553,com.sec.android.app.shealth,7666071,36840000,f92868ea-696d-4b8c-beec-5244110517f0,1466294400000,
null
,,,,6691,,4337644,,0,,2015-12-13 03:09:18.572,,2015-12-11 05:00:36.932,,,,60,300000,118,,,,5280.881,,284.5499,c3285393-64fe-42e5-aa23-cc1060644956.extra_data.json,OBFuvbOf82,30514,com.sec.android.app.shealth,4307130,34980000,c3285393-64fe-42e5-aa23-cc1060644956,1449792000000,
,,,,3283,,2120619,,0,,2016-02-14 22:20:16.925,,2016-02-13 05:00:03.229,,,,60,180000,58,,,,2612.5596,,140.13,b59faa95-e798-42f3-99cf-d4cb8f117f9f.extra_data.json,OBFuvbOf82,16166,com.sec.android.app.shealth,2104453,44760000,b59faa95-e798-42f3-99cf-d4cb8f117f9f,1455321600000,
,,,,12825,,7200906,,0,,2016-06-08 17:45:56.640,,2016-05-23 04:01:03.400,,,,60,2551068,198,,,,11004.801,,719.396,ecf27307-3177-41de-8509-9e56f9b2f1ea.extra_data.json,OBFuvbOf82,1563694,com.sec.android.app.shealth,5637212,37320000,ecf27307-3177-41de-8509-9e56f9b2f1ea,1463961600000,
