date,calories,carbs_g,fat_g,protein_g,chol_mg,sodium_mg,sugar_g,fiber_g
2012-05-27,1751,226,76,46,58,2308,73,5
2012-05-28,2689,448,56,56,61,2770,160,27
2012-05-29,1980,255,92,66,132,2523,86,30
2012-05-30,1524,173,57,93,69,4659,84,8
2012-05-31,1599,194,37,73,243,5468,27,5
2012-06-01,2540,244,89,54,78,5147,62,14
2012-06-02,2214,371,57,48,50,2791,158,21
2012-06-03,1931,223,64,63,103,4739,101,8
2012-06-04,3417,521,135,33,75,1632,91,11
2012-06-05,2165,278,113,49,165,5470,96,15
2012-06-06,1613,221,68,39,35,3407,106,13
2012-06-07,1968,322,50,66,75,3947,96,17
2012-06-08,2119,262,111,31,13,2745,90,24
2012-06-09,1772,238,80,58,65,5359,67,14
2012-06-10,1703,231,54,75,43,6383,88,20
2012-06-11,1805,204,76,89,49,5117,77,10
2012-06-12,2609,357,82,69,15,2316,174,22
2012-06-13,1550,235,50,47,60,4590,62,23
2012-06-14,2266,338,83,68,129,2534,92,31
2012-06-15,1908,313,65,50,40,2285,158,17
2012-06-16,1600,260,45,53,60,3900,105,12
2012-06-17,1485,258,33,48,45,1938,113,20
2012-06-18,2787,358,112,79,152,2772,147,37
2012-06-19,2528,292,107,30,18,2165,128,10
2012-06-20,2557,384,55,26,15,2607,84,12
2012-06-21,1464,233,40,55,65,3976,99,12
2012-06-22,1940,300,64,62,70,3393,117,12
2012-06-23,1584,205,50,98,54,4725,103,14
2012-06-24,1603,214,23,44,50,1599,94,15
2012-06-25,1500,168,33,41,60,3459,75,8
2012-06-26,2021,257,83,80,121,3659,76,18
2012-06-27,1478,210,52,54,70,3754,93,12
2012-06-28,2643,391,103,54,28,5206,74,16
2012-06-29,1911,208,67,61,35,2617,34,13
2012-06-30,1837,230,72,80,83,4956,46,19
2012-07-01,2494,374,80,79,90,5874,133,18
2012-07-02,2451,347,85,76,75,3061,64,20
2012-07-03,1565,200,74,33,85,3681,86,6
2012-07-04,2387,328,101,43,130,2836,155,13
2012-07-05,2505,338,112,77,212,2828,144,30
2012-07-06,2048,258,70,59,135,4205,118,11
2012-07-07,2235,313,74,62,10,2027,135,23
2012-07-08,1675,176,51,125,114,3978,74,13
2012-07-09,1723,239,37,95,328,4014,66,16
2012-07-10,2013,290,83,49,43,4556,108,13
2012-07-11,1673,265,50,48,70,3832,69,10
2012-07-12,2319,310,84,105,47,4369,89,17
2012-07-13,2311,304,85,54,54,4710,133,15
2012-07-14,2410,399,70,63,130,4795,207,11
2012-07-15,1741,224,61,98,104,4854,120,8
2012-07-16,1962,309,69,42,95,3424,149,9
2012-07-17,2305,314,96,65,132,3418,138,18
2012-07-18,1590,221,45,74,65,4388,93,14
2012-07-19,2222,277,90,48,10,1101,124,18
