Date,Calories
11/5/2017,1903
11/6/2017,2143
11/7/2017,2321
11/8/2017,2056
11/9/2017,2585
11/10/2017,2156
11/11/2017,4279
11/12/2017,4135
11/13/2017,2823
11/14/2017,1940
11/15/2017,2080
11/16/2017,1740
11/17/2017,1756
11/18/2017,1786
11/19/2017,2234
11/20/2017,1984
11/21/2017,2747
11/22/2017,2162
11/23/2017,2588
11/24/2017,2344
11/25/2017,1866
11/26/2017,2475
11/27/2017,1955
11/28/2017,2052
11/29/2017,2397
11/30/2017,1949
12/1/2017,2702
12/2/2017,1983
12/3/2017,2085
12/4/2017,2468
12/5/2017,2133
12/6/2017,2218
12/7/2017,2044
12/8/2017,1635
12/9/2017,2000
12/10/2017,2103
12/11/2017,2124
12/12/2017,2141
12/13/2017,2589
12/14/2017,2092
12/15/2017,2088
12/16/2017,2359
12/17/2017,1983
12/18/2017,2030
12/19/2017,1965
12/20/2017,2745
12/21/2017,2426
12/22/2017,2133
12/23/2017,2160
12/24/2017,2838
12/25/2017,2972
12/26/2017,2181
12/27/2017,2819
12/28/2017,1575
12/29/2017,1793
12/30/2017,1955
12/31/2017,3038
1/1/2018,2059
1/2/2018,2661
1/3/2018,1875
1/4/2018,1564
1/5/2018,2614
1/6/2018,1795
1/7/2018,2263
1/8/2018,2253
1/9/2018,2393
1/10/2018,1765
1/11/2018,1900
1/12/2018,1826
1/13/2018,2060
1/14/2018,2274
1/15/2018,1952
1/16/2018,2385
1/17/2018,1777
1/18/2018,1573
1/19/2018,1884
1/20/2018,1982
1/21/2018,1992
1/22/2018,2180
1/23/2018,2833
1/24/2018,2190
1/25/2018,1888
1/26/2018,2033
1/27/2018,2355
1/28/2018,1910
1/29/2018,1923
1/30/2018,2085
1/31/2018,2317
2/1/2018,2025
2/2/2018,1945
2/3/2018,1971
2/4/2018,1930
2/5/2018,1835
2/6/2018,1895
2/7/2018,1879
2/8/2018,2019
2/9/2018,1891
2/10/2018,1824
2/11/2018,2159
2/12/2018,2018
2/13/2018,1793
2/14/2018,2408
2/15/2018,2358
2/16/2018,1916
2/17/2018,2336
2/18/2018,2189
2/19/2018,2348
2/20/2018,2412
2/21/2018,2082
2/22/2018,2219
2/23/2018,2009
2/24/2018,1979
2/25/2018,2204
2/26/2018,1859
2/27/2018,1962
2/28/2018,2049
3/1/2018,1732
3/2/2018,2927
3/3/2018,2107
3/4/2018,1915
3/5/2018,2110
3/6/2018,1972
3/7/2018,2045
3/8/2018,1983
3/9/2018,2251
3/10/2018,2387
3/11/2018,2415
3/12/2018,2659
3/13/2018,2366
3/14/2018,2407
3/15/2018,1760
3/16/2018,1820
3/17/2018,1997
3/18/2018,2271
3/19/2018,2507
3/20/2018,2276
3/21/2018,2270
3/22/2018,1653
3/23/2018,2135
3/24/2018,1870
3/25/2018,1828
3/26/2018,2095
3/27/2018,1722
3/28/2018,1848
3/29/2018,1957
3/30/2018,2040
3/31/2018,1780
4/1/2018,1923
4/2/2018,2180
4/3/2018,1810
4/4/2018,2200
4/5/2018,1827
4/6/2018,2555
4/7/2018,1778
4/8/2018,1760
4/9/2018,2085
4/10/2018,1544
4/11/2018,2160
4/12/2018,2664
4/13/2018,1412
4/14/2018,1774
4/15/2018,1881
4/16/2018,1960
4/17/2018,1921
4/18/2018,2019
4/19/2018,1833
4/20/2018,2433
4/21/2018,3086
4/22/2018,2816
4/23/2018,1835
4/24/2018,1781
4/25/2018,1910
4/26/2018,2208
4/27/2018,2027
4/28/2018,1972
4/29/2018,2010
4/30/2018,2364
5/1/2018,2800
