date,calories,carbs_g,fat_g,protein_g,chol_mg,sodium_mg,sugar_g,fiber_g,lbs,fat_pct,calories_42d_avg,carbs_g_42d_avg,fat_g_42d_avg,protein_g_42d_avg,chol_mg_42d_avg,sodium_mg_42d_avg,sugar_g_42d_avg,fiber_g_42d_avg,lbs_interp,fat_pct_interp
2011-09-07,1556.0,270.0,41.0,46.0,15.0,2958.0,127.0,13.0,,,1793.7857142857142,246.42857142857142,60.523809523809526,52.73809523809524,44.11904761904762,3136.5476190476193,79.88095238095238,13.904761904761905,226.7,0.3065
2011-09-08,1581.0,277.0,39.0,35.0,14.0,3017.0,65.0,23.0,225.8,0.304,1769.7142857142858,245.95238095238096,59.023809523809526,51.26190476190476,43.73809523809524,3143.9761904761904,80.52380952380952,14.333333333333334,225.8,0.304
2011-09-09,1753.0,241.0,43.0,52.0,26.0,1873.0,33.0,15.0,,,1763.1666666666667,244.52380952380952,58.19047619047619,51.857142857142854,43.0,3100.3333333333335,78.45238095238095,14.595238095238095,225.2,0.303
2011-09-10,1549.0,241.0,48.0,44.0,30.0,2917.0,74.0,13.0,224.6,0.302,1754.2857142857142,243.6904761904762,57.642857142857146,51.523809523809526,41.333333333333336,3078.309523809524,77.5952380952381,14.476190476190476,224.6,0.302
2011-09-11,1822.0,263.0,68.0,51.0,40.0,5665.0,85.0,14.0,224.4,0.302,1762.7857142857142,244.42857142857142,58.285714285714285,51.57142857142857,40.976190476190474,3164.309523809524,77.5952380952381,14.619047619047619,224.4,0.302
2011-09-12,1612.0,222.0,67.0,47.0,60.0,2764.0,40.0,12.0,,,1762.904761904762,244.76190476190476,58.333333333333336,51.45238095238095,40.61904761904762,3154.8571428571427,77.28571428571429,14.619047619047619,223.86666666666667,0.30066666666666664
2011-09-13,1576.0,215.0,46.0,21.0,25.0,1288.0,67.0,9.0,,,1760.8809523809523,244.5,58.07142857142857,50.92857142857143,39.92857142857143,3138.8571428571427,77.42857142857143,14.5,223.33333333333334,0.29933333333333334
2011-09-14,1599.0,245.0,54.0,45.0,40.0,2066.0,74.0,8.0,222.8,0.298,1761.8333333333333,246.23809523809524,58.166666666666664,51.142857142857146,40.642857142857146,3104.5476190476193,78.42857142857143,14.547619047619047,222.8,0.298
2011-09-15,1670.0,309.0,33.0,35.0,40.0,2484.0,60.0,10.0,222.6,0.297,1765.0238095238096,248.5,58.04761904761905,50.76190476190476,40.0,3072.3571428571427,78.54761904761905,14.571428571428571,222.6,0.297
2011-09-16,1616.0,215.0,57.0,48.0,40.0,1996.0,22.0,10.0,222.2,0.297,1757.952380952381,247.92857142857142,57.666666666666664,51.023809523809526,40.595238095238095,3085.0714285714284,77.61904761904762,14.452380952380953,222.2,0.297
2011-09-17,2047.0,272.0,52.0,63.0,81.0,3458.0,24.0,15.0,,,1768.4761904761904,249.57142857142858,57.26190476190476,51.26190476190476,42.404761904761905,3101.5714285714284,76.30952380952381,14.571428571428571,222.1142857142857,0.2967142857142857
