analysis,cutoff_hour,cutoff_hhmm,target,target_label,early_n,late_n,early_mean,late_mean,diff_early_minus_late,raw_r,raw_n,partial_r,partial_n
cutoff_sweep,25.5,01:30,cal_next,Next-day calories,686,1346,2199.030612244898,2204.212481426449,-5.181869181551065,-0.005010265219671338,2032,-0.006631218937829729,2032
cutoff_sweep,25.5,01:30,steps_next,Next-day steps,691,1365,3778.2272069464543,3663.260073260073,114.9671336863812,0.016392014395563228,2056,0.008963950072893868,2033
cutoff_sweep,25.5,01:30,weight_change,Weight change,298,662,0.040268456375838924,-0.11903323262839877,0.1593016890042377,0.06867224955490829,960,0.06728798241037158,958
cutoff_sweep,25.5,01:30,sleep_hours,Sleep duration,691,1366,8.485947901591896,7.469560761346998,1.0163871402448974,0.314096967410546,2057,0.261647414411583,2033
cutoff_sweep,25.666666666666668,01:40,calories,Same-day calories,762,1271,2243.6167979002626,2177.2690794649884,66.34771843527415,0.0656543080029462,2033,0.04196877896097105,2033
cutoff_sweep,25.666666666666668,01:40,surplus,Same-day surplus,762,1271,15.946194225721785,-38.66876475216365,54.614958977885436,0.05454986089921731,2033,0.03831908795504658,2033
cutoff_sweep,25.666666666666668,01:40,steps,Same-day steps,768,1289,3925.2903645833335,3566.8813033359193,358.40906124741423,0.05233290923112796,2057,0.09331536727691815,2033
cutoff_sweep,25.666666666666668,01:40,tdee,Same-day TDEE,762,1271,2227.670603674541,2215.937844217152,11.732759457388966,0.03423562414292275,2033,0.010648048110679174,2033
cutoff_sweep,25.666666666666668,01:40,cal_next,Next-day calories,762,1270,2207.530183727034,2199.4228346456694,8.107349081364646,0.008025052873948273,2032,0.012395180378092415,2032
cutoff_sweep,25.666666666666668,01:40,steps_next,Next-day steps,768,1288,3824.0078125,3629.089285714286,194.91852678571422,0.028460657920550404,2056,0.02687793321857606,2033
cutoff_sweep,25.666666666666668,01:40,weight_change,Weight change,338,622,0.08165680473372762,-0.1517684887459806,0.2334252934797082,0.10387839311681032,960,0.10835557155752246,958
cutoff_sweep,25.666666666666668,01:40,sleep_hours,Sleep duration,768,1289,8.460625,7.423933281613653,1.036691718386347,0.3280929559402263,2057,0.26277876480072687,2033
cutoff_sweep,25.833333333333332,01:50,calories,Same-day calories,822,1211,2240.2372262773724,2176.2758051197357,63.96142115763678,0.06416719565749339,2033,0.04064753542070655,2033
cutoff_sweep,25.833333333333332,01:50,surplus,Same-day surplus,822,1211,12.465936739659368,-39.01238645747316,51.47832319713253,0.05212716996426162,2033,0.03484095978691475,2033
cutoff_sweep,25.833333333333332,01:50,steps,Same-day steps,829,1228,3867.0422195416163,3588.3998371335506,278.6423824080657,0.041258406647519105,2057,0.08616781594573468,2033
cutoff_sweep,25.833333333333332,01:50,tdee,Same-day TDEE,822,1211,2227.771289537713,2215.288191577209,12.483097960503983,0.03692820354090727,2033,0.01775782219218421,2033
cutoff_sweep,25.833333333333332,01:50,cal_next,Next-day calories,822,1210,2209.176399026764,2197.902479338843,11.27391968792108,0.01131340186306493,2032,0.0189388656972322,2032
cutoff_sweep,25.833333333333332,01:50,steps_next,Next-day steps,829,1227,3836.412545235223,3611.0179299103506,225.39461532487258,0.03337308516658458,2056,0.034341265847449134,2033
cutoff_sweep,25.833333333333332,01:50,weight_change,Weight change,365,595,0.06602739726027365,-0.15277310924369725,0.2188005065039709,0.09896394632764213,960,0.10115977537324865,958
cutoff_sweep,25.833333333333332,01:50,sleep_hours,Sleep duration,829,1228,8.45804583835947,7.374177524429968,1.083868313929501,0.3478509368114998,2057,0.2777236634104465,2033
cutoff_sweep,26.0,02:00,calories,Same-day calories,899,1134,2235.889877641824,2175.379188712522,60.51068892930198,0.061433526348604287,2033,0.041601458674531126,2033
cutoff_sweep,26.0,02:00,surplus,Same-day surplus,899,1134,8.78420467185762,-39.589065255731924,48.37326992758955,0.0495705335731268,2033,0.03652191453314767,2033
cutoff_sweep,26.0,02:00,steps,Same-day steps,907,1150,3826.8754134509372,3601.18,225.6954134509374,0.03382705003695893,2057,0.08015284645550311,2033
cutoff_sweep,26.0,02:00,tdee,Same-day TDEE,899,1134,2227.1056729699667,2214.968253968254,12.137419001712715,0.03633628638209081,2033,0.015345391088313681,2033
cutoff_sweep,26.0,02:00,cal_next,Next-day calories,899,1133,2206.3537263626254,2199.3759929391,6.977733423525478,0.007085962633283576,2032,0.01690835041424685,2032
cutoff_sweep,26.0,02:00,steps_next,Next-day steps,907,1149,3835.449834619625,3596.4769364664926,238.97289815313252,0.035815051664353684,2056,0.041510293241183625,2033
cutoff_sweep,26.0,02:00,weight_change,Weight change,406,554,0.037684729064039295,-0.14819494584837534,0.18587967491241464,0.08556055054054511,960,0.08707584169168256,958
cutoff_sweep,26.0,02:00,sleep_hours,Sleep duration,907,1150,8.41226019845645,7.336773913043479,1.0754862854129703,0.3493796848764339,2057,0.27738861320074537,2033
cutoff_sweep,26.166666666666668,02:10,calories,Same-day calories,966,1067,2234.2277432712217,2173.0843486410495,61.143394630172224,0.06241763280524873,2033,0.04295830254289773,2033
cutoff_sweep,26.166666666666668,02:10,surplus,Same-day surplus,966,1067,6.801242236024844,-40.831302717900655,47.6325449539255,0.049080201117067526,2033,0.03757162611581896,2033
cutoff_sweep,26.166666666666668,02:10,steps,Same-day steps,975,1082,3813.949743589744,3598.6432532347503,215.30649035499346,0.03245352598343054,2057,0.07693973041707916,2033
