residence_days,tol,move_window,move_thresh,move_scale,base_rate,down_factor,subject_r90,subject_r180,score,trial_mean_abs_err,trial_worst_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
28,4.0,21,0.08,0.02,0.0075,1.0,-0.609883616987971,-0.7585704233948758,0.12287737812912594,15.208841571307762,18.28294074326898,10.946807713242496,2.854121796940869,3.710088711581261
28,4.0,21,0.1,0.02,0.0075,1.0,-0.6631148201166002,-0.8055756033390581,0.12140585822061795,17.12733580637536,19.9162245768475,9.406724737387751,2.747866908565728,3.5416667607238987
14,4.0,21,0.1,0.02,0.005,1.0,-0.5532068714469398,-0.6966551357716756,0.12118797132794895,13.323263702908367,16.55536260608235,11.23156746669569,3.988532403784295,4.21044961482534
28,3.0,14,0.1,0.02,0.01,0.5,-0.5075195339944004,-0.6340057416661747,0.12088538015869216,12.179527492957439,14.304360397655952,13.08488006943122,4.327247436679631,4.519535544112693
14,3.0,21,0.08,0.02,0.0075,1.0,-0.6403400386957717,-0.7846759876333658,0.11938567064413813,16.395284527295033,19.30486775057329,10.115412479489914,2.7136245768271046,3.5465067128872594
21,4.0,14,0.05,0.02,0.01,1.0,-0.5894193206822497,-0.7394756624270241,0.11881218915071196,15.125328626731232,16.810055899691307,13.039606877568929,2.378512492359813,3.729437566922189
21,3.0,21,0.08,0.02,0.0075,1.0,-0.6091670954242046,-0.7568363927276855,0.11846393412744005,15.328270893363793,18.413774342948862,10.853745597036527,2.8262790409475556,3.6856229174695643
14,3.0,21,0.1,0.02,0.0075,1.0,-0.6951283845465897,-0.828978323821209,0.11793464783398033,18.378946653940204,20.961480363380524,8.547566462175116,2.6122257374271833,3.3750708887050527
14,4.0,14,0.08,0.02,0.0075,1.0,-0.6444250367011336,-0.7884152456522368,0.11708621163439797,16.62047563241567,19.492931241842225,9.980137015401693,2.6792620936308116,3.5071852254285156
28,4.0,21,0.05,0.02,0.01,1.0,-0.5819136807695785,-0.732675750110174,0.11690121202424372,15.01511665022401,16.471013574085454,13.284981704471797,2.451436525114608,3.787852402382139
14,4.0,21,0.1,0.02,0.01,0.3,-0.42610193920233497,-0.5218626495549832,0.11671233662424307,9.997968796403907,10.943022665001376,14.434120280132081,6.073050007079345,5.159312465961645
21,3.0,21,0.05,0.02,0.01,1.0,-0.5830353340525464,-0.7328363115810462,0.11598071574479404,15.068001132169591,16.56945956643605,13.231058449355725,2.4194979171608018,3.764329829506908
21,2.5,21,0.08,0.02,0.01,0.5,-0.4923145197134487,-0.6151553077913733,0.11584386483292622,12.106239520093617,13.434586447865012,13.888125238773549,4.399655682218544,4.610297628999159
21,3.0,21,0.1,0.02,0.0075,1.0,-0.6617363004251627,-0.8032088005140039,0.1153823074194392,17.291174279474653,20.05305074162305,9.307746071443042,2.7209017026380944,3.515581560623409
14,2.5,14,0.05,0.02,0.01,1.0,-0.5869383592036894,-0.7356688238030006,0.11525307732800583,15.160992854456298,16.846542478655763,13.03294863949219,2.3566315429303493,3.7174361111345484
14,2.5,21,0.05,0.02,0.01,1.0,-0.5895549597010988,-0.7389191093533716,0.11501745388840862,15.20530897073974,17.043132639789544,12.874418862311316,2.3418871929497227,3.672276725925182
28,4.0,14,0.08,0.02,0.01,0.5,-0.493550294248473,-0.6187661900658215,0.11444613034624943,12.155798041679256,13.598820306863843,13.766087972886092,4.36768977657119,4.581818734979715
21,3.0,14,0.08,0.02,0.01,0.5,-0.4952760354855748,-0.6190194432003618,0.11420167379422877,12.19040610661175,13.726623955911101,13.667837705439108,4.340884750045223,4.564869974455712
