sp_params,baseline,m0,a,b,c,rmse,corr,mean_m,frac_high,frac_low,score,trial_mean_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
"tol=3.0,hold=7,rate=0.001",0,0.2,0.002,0.002,0,2070.3059869471326,-0.13478408012443863,0.9058029670984885,0.8895292987512008,0.07732949087415947,-2.9917952985594,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.3,0.002,0.002,0,2070.3059869471326,-0.13478408012443863,0.905850997838162,0.8895292987512008,0.07732949087415947,-2.991819313929237,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=14,rate=0.001",-100,0.0,0.001,0.0005,50,2070.786779858194,-0.13342707410226007,0.9029467824517249,0.8611911623439001,0.05715658021133525,-2.9918310973693725,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=3.0,hold=14,rate=0.001",-100,0.1,0.001,0.0005,50,2070.7868103120422,-0.1334271796385107,0.9029992673277967,0.8611911623439001,0.05715658021133525,-2.9918573174931313,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=3.0,hold=14,rate=0.001",-100,0.2,0.001,0.0005,50,2070.786840769682,-0.13342728517388325,0.9030517522038681,0.8611911623439001,0.056676272814601344,-2.9918835376211206,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=3.0,hold=14,rate=0.001",-100,0.3,0.001,0.0005,50,2070.7868712311138,-0.13342739070837775,0.9031042370799397,0.8611911623439001,0.056676272814601344,-2.9919097577533407,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=2.5,hold=7,rate=0.001",0,0.0,0.001,0.001,0,2072.243717755075,-0.13339517367249967,0.9012013306373163,0.8717579250720461,0.06532180595581172,-2.9921266643627256,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.1,0.001,0.001,0,2072.243717755075,-0.13339517367249967,0.9012493613769899,0.8717579250720461,0.06532180595581172,-2.9921506797325623,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.2,0.001,0.001,0,2072.243717755075,-0.13339517367249967,0.9012973921166633,0.8717579250720461,0.06484149855907781,-2.992174695102399,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.3,0.001,0.001,0,2072.243717755075,-0.13339517367249967,0.9013454228563366,0.8717579250720461,0.06484149855907781,-2.992198710472236,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
