date,fat_mass_lbs_filtered,fat_mass_std_filtered,tdee_filtered,tdee_std_filtered,fat_mass_lbs,fat_mass_std,tdee,tdee_std,innovation
2015-06-05,34.15,3.38,2287.0,154.0,37.22,0.69,2158.0,83.0,
2015-06-06,34.16,3.41,2288.0,154.0,37.26,0.68,2159.0,83.0,
2015-06-07,34.77,3.44,2289.0,154.0,37.91,0.66,2160.0,84.0,
2015-06-08,34.75,3.48,2290.0,154.0,37.93,0.65,2161.0,84.0,
2015-06-09,34.9,3.51,2290.0,154.0,38.11,0.64,2162.0,84.0,
2015-06-10,34.93,3.54,2291.0,154.0,38.19,0.63,2163.0,84.0,
2015-06-11,34.88,3.57,2292.0,154.0,38.17,0.61,2163.0,84.0,
2015-06-12,35.18,3.6,2293.0,154.0,38.51,0.6,2164.0,85.0,
2015-06-13,35.19,3.64,2293.0,155.0,38.56,0.59,2165.0,85.0,
2015-06-14,35.3,3.67,2294.0,155.0,38.71,0.57,2166.0,85.0,
2015-06-15,35.57,3.7,2295.0,155.0,39.01,0.56,2167.0,85.0,
2015-06-16,35.82,3.73,2295.0,155.0,39.3,0.55,2168.0,85.0,
2015-06-17,35.91,3.76,2296.0,155.0,39.42,0.53,2169.0,85.0,
2015-06-18,35.61,3.79,2297.0,155.0,39.16,0.52,2169.0,85.0,
2015-06-19,35.39,3.82,2297.0,155.0,38.98,0.51,2170.0,84.0,
2015-06-20,35.32,3.85,2298.0,155.0,38.94,0.5,2171.0,84.0,
2015-06-21,35.32,3.89,2299.0,155.0,38.98,0.49,2172.0,84.0,
2015-06-22,35.0,3.92,2299.0,155.0,38.7,0.48,2173.0,84.0,
2015-06-23,34.83,3.95,2300.0,155.0,38.57,0.47,2174.0,83.0,
2015-06-24,38.44,0.96,2196.0,116.0,38.33,0.46,2175.0,83.0,4.117
2015-06-25,38.25,0.69,2198.0,115.0,38.14,0.45,2176.0,83.0,0.014
2015-06-26,38.05,0.7,2200.0,116.0,37.94,0.44,2176.0,82.0,
2015-06-27,37.87,0.71,2201.0,117.0,37.77,0.44,2177.0,82.0,
2015-06-28,37.67,0.72,2203.0,118.0,37.58,0.43,2178.0,81.0,
2015-06-29,37.49,0.73,2204.0,119.0,37.41,0.43,2179.0,81.0,
2015-06-30,37.28,0.74,2206.0,120.0,37.21,0.42,2179.0,80.0,
2015-07-01,37.05,0.6,2211.0,117.0,37.03,0.42,2180.0,80.0,-0.146
2015-07-02,36.76,0.62,2212.0,118.0,36.75,0.42,2180.0,79.0,
