date,fm,sp,surplus,pressure,required_control,control_stock,control_exerted,control_shortfall,surplus_30,required_30,stock_30,shortfall_30
2011-07-06,83.36,92.60885147108677,-931.0,508.68683090977214,939.6868309097722,137.5680314332783,137.5680314332783,802.1187994764939,-1046.4666666666667,990.8436599764804,142.80082305536655,851.1971461915466
2011-07-07,83.09,92.39144060301741,-1028.0,511.57923316595765,1039.5792331659577,137.30306451795707,137.30306451795707,902.2761686480006,-1044.1666666666667,994.624702497882,142.68217050393918,855.0968412643757
2011-07-08,82.79,92.17214339656779,-1105.0,516.0178868112281,1121.017886811228,137.0963903240065,137.0963903240065,983.9214964872215,-1036.0333333333333,992.3976912839663,142.5896215138258,852.9623790405734
2011-07-09,82.46,91.95031773481905,-1118.0,521.9674754150482,1139.9674754150483,136.93518445272508,136.93518445272508,1003.0322909623233,-1024.6,986.6282918898779,142.51743330153738,847.2651678587735
2011-07-10,82.14,91.72624976808571,-944.0,527.2437372447139,971.2437372447139,136.8094438731256,136.8094438731256,834.4342933715883,-1008.0333333333333,975.4170487382845,142.46112649595244,836.110231512765
2011-07-11,81.86,91.50090431194701,-1066.0,530.2497371570856,1096.2497371570857,136.71136622103796,136.71136622103796,959.5383709360478,-1009.3666666666667,981.750597752082,142.41720718759612,842.4876998349189
2011-07-12,81.55,91.27362534335434,-1079.0,534.7993938844888,1113.7993938844888,136.6348656524096,136.6348656524096,977.1645282320792,-1000.5,977.8057708807446,142.38295012707826,838.5771300240993
2011-07-13,81.24,91.04445702379317,-1073.0,539.2451363086248,1112.2451363086248,136.57519520887948,136.57519520887948,975.6699410997453,-990.4666666666667,972.4385455710834,142.35622961987428,833.2366252216422
2011-07-14,80.93,90.81344250609928,-1111.0,543.5893378354599,1154.58933783546,136.528652262926,136.528652262926,1018.0606855725339,-987.8666666666667,974.2547627448353,142.33538762425516,835.0736843910131
2011-07-15,80.61,90.58039555718061,-1102.0,548.3717556449335,1150.3717556449335,136.49234876508226,136.49234876508226,1013.8794068798512,-981.4,972.0497029140068,142.3191308676723,832.8848813167675
2011-07-16,80.3,90.34559099814616,-1110.0,552.5075048980392,1162.5075048980393,136.46403203676414,136.46403203676414,1026.0434728612752,-979.1,973.806486918666,142.30645059753763,834.6543455915613
2011-07-17,79.98,90.1088405725508,-1104.0,557.086231490294,1161.086231490294,136.44194498867603,136.44194498867603,1024.644286501618,-974.5,973.1347846497607,142.29655998683262,833.9925339333608
2011-07-18,79.66,89.8701887240482,-992.0,561.5603798226515,1053.5603798226516,136.4247170911673,136.4247170911673,917.1356627314843,-976.8,979.2196161384135,142.28884531048269,840.0850800983638
2011-07-19,79.38,89.63059248246023,-545.0,563.7825865353129,608.7825865353129,136.4112793311105,136.4112793311105,472.3713072042024,-951.3666666666667,957.5025832224824,142.28282786292976,818.3740646299856
2011-07-20,79.22,89.39281422154264,-1055.0,559.504782184845,1114.504782184845,136.4007978782662,136.4007978782662,978.1039843065788,-953.9666666666667,963.339882033775,142.27813425383846,824.2160570503695
2011-07-21,78.92,89.15361481414033,-964.0,562.8488147777178,1026.848814777718,136.3926223450476,136.3926223450476,890.4561924326704,-983.6,996.1724033702056,142.27447323874725,853.8979301314586
2011-07-22,78.65,88.91371192023084,-259.0,564.5041556126957,323.50415561269574,136.38624542913715,136.38624542913715,187.1179101835586,-939.2,955.3463868038599,140.97408912622282,814.3722976776371
2011-07-23,78.57,88.6774612134657,-1142.0,555.9103667406141,1197.910366740614,136.38127143472698,136.38127143472698,1061.529095305887,-947.2666666666667,966.2246522317315,139.95978951845382,826.2648627132778
2011-07-24,78.25,88.43929767019947,-1137.0,560.4113718609706,1197.4113718609706,136.37739171908703,136.37739171908703,1061.0339801418836,-950.9,972.7128549183415,139.168635824394,833.5442190939474
2011-07-25,77.93,88.1992649796782,-1151.0,564.8095738823009,1215.8095738823008,136.37436554088788,136.37436554088788,1079.4352083414128,-979.4666666666667,1004.1050148309821,138.55153594302732,865.5534788879548
2011-07-26,77.61,87.95740583328423,-1058.0,569.1073208306325,1127.1073208306325,136.37200512189253,136.37200512189253,990.73531570874,-990.0666666666667,1017.8959241081405,138.07019803556128,879.8257260725792
2011-07-27,77.31,87.71421874795863,-530.0,572.2320311377243,602.2320311377243,136.37016399507618,136.37016399507618,465.8618671426482,-978.9333333333333,1010.0239363787223,137.6947544677378,872.3291819109843
2011-07-28,77.17,87.47338845891903,-12.0,566.6863652405467,78.6863652405467,136.36872791615943,78.6863652405467,0.0,-951.9333333333333,986.0137321524627,137.40190848483547,850.5345690901476
2011-07-29,77.17,87.2380587412831,-571.0,553.7432307705703,624.7432307705703,167.9040803097269,167.9040803097269,456.8391504608434,-927.8333333333334,964.423205109666,138.22470436934242,828.1212461628439
2011-07-30,77.02,87.00467795709146,-673.0,549.1572876400305,722.1572876400305,160.96518264158698,160.96518264158698,561.1921049984435,-934.6,973.2299925052903,138.86648515925785,836.286252768553
2011-07-31,76.83,86.77228799138011,-1127.0,546.8258395259062,1173.8258395259063,155.55284246043783,155.55284246043783,1018.2729970654684,-941.9333333333333,982.6643377422618,139.36707417539185,845.2200089893903
2011-08-01,76.52,86.53812541003579,-982.0,550.9968975519687,1032.9968975519687,151.3312171191415,151.3312171191415,881.6656804328272,-934.9666666666667,977.8402687981404,139.75753360797637,840.0054806126846
2011-08-02,76.25,86.30314430091813,-925.0,552.9229365504974,977.9229365504974,148.03834935293037,148.03834935293037,829.884587197567,-931.2666666666667,976.0906127256999,140.06209196539234,837.9512661828279
2011-08-03,75.99,86.06759175954299,-1025.0,554.2675467748649,1079.267546774865,145.46991249528568,145.46991249528568,933.7976342795793,-941.6,988.2580856720379,140.29964748417675,849.8811836103815
2011-08-04,75.71,85.83102403680984,-1048.0,556.6563220245414,1104.6563220245414,143.46653174632283,143.46653174632283,961.1897902782185,-932.2333333333333,980.809069007668,140.48494078882862,842.2468736413597
2011-08-05,75.42,85.59323591917727,-669.0,559.52797555475,728.52797555475,141.9038947621318,141.9038947621318,586.6240807926182,-923.5,973.7704404958338,140.62946956645706,835.0637163518973
2011-08-06,75.24,85.35676768397556,-977.0,556.4222226186562,1033.4222226186562,140.6850379144628,140.6850379144628,892.7371847041934,-921.8,973.5652068109238,140.7422020130073,834.7457502204371
2011-08-07,74.97,85.11953358220741,-531.0,558.2243470214077,589.2243470214077,139.734329573281,139.734329573281,449.49001744812665,-902.6666666666666,955.8387554845964,140.8301333213164,816.9313675858006
2011-08-08,74.83,84.8845203103929,-948.0,552.9986170716096,1000.9986170716096,138.99277706715918,138.99277706715918,862.0058400044504,-897.0,951.2064602064819,140.89871974179758,812.2304858872046
2011-08-09,74.57,84.64893634091791,-798.0,554.3414987504856,852.3414987504856,138.41436611238416,138.41436611238416,713.9271326381014,-892.1333333333333,947.2430522566742,140.95221714977285,808.2135805294217
2011-08-10,74.35,84.41370830979766,-1177.0,553.5039570388714,1230.5039570388712,137.96320556765963,137.96320556765963,1092.5407514712117,-895.8333333333334,951.7181929194005,140.99394512799356,812.6469932139273
2011-08-11,74.03,84.17654408423229,-1009.0,558.0599246327758,1067.0599246327758,137.6113003427745,137.6113003427745,929.4486242900014,-893.5,950.16021061101,141.02649295100574,811.0564630825247
2011-08-12,73.75,83.9384014882267,338.0,560.3620818524687,0.0,137.3368142673641,0.0,0.0,-846.4666666666667,913.0853727340559,141.0518802529552,778.5341317125332
2011-08-13,73.84,83.70775367947195,-1023.0,542.7264523709571,1065.726452370957,184.59007798201682,184.59007798201682,881.1363743889402,-843.5333333333333,910.1232765519057,142.65392777692492,773.9699880064132
2011-08-14,73.55,83.47575026479565,-1117.0,545.9162645637609,1162.916264563761,173.98026082597312,173.98026082597312,988.9360037377878,-844.0333333333333,910.5414268492001,143.90352484562126,773.1385412350113
