date,start_time,duration_min,distance_m,kph,hr_mean,hr_median,hr_max,hr_samples,hr_resid_all,hr_resid_2021p,datauuid
2022-03-31,2022-03-31 17:41:31.618000,30.51,2689.7,5.289,119.34,120.00,130,185,-1.47,6.69,4f35fa0d-4f2c-425f-bae9-bfdaf60d71b2
2022-05-01,2022-05-01 20:50:43.522000,33.73,1830.7,3.256,100.44,100.00,138,204,-6.34,-0.23,3ec91457-1458-4307-a36e-7bcbfd296fa8
2022-05-03,2022-05-03 19:44:02.283000,46.07,2811.8,3.662,117.70,116.00,144,196,8.12,14.64,fd5ae44f-dbd8-4b83-abd0-e9914ef46254
2022-05-19,2022-05-19 19:19:37.883000,73.12,5351.8,4.391,109.28,109.00,135,440,-5.33,1.92,c6536637-7f79-4d82-9eed-c06828203963
2022-06-03,2022-06-03 20:17:13.460000,69.10,5708.4,4.957,116.99,117.00,137,414,-1.52,6.30,d3ebba30-51d6-4edb-8266-e3b0f858794d
2022-06-10,2022-06-10 20:47:04.114000,37.19,2572.5,4.151,105.61,107.00,120,225,-7.34,-0.33,10a6ac95-de74-4cd1-bc6e-0a75d4421cb1
2022-06-10,2022-06-10 21:36:06.736000,35.53,2780.4,4.696,106.58,107.00,116,205,-10.13,-2.57,8c7d5bf6-6640-46c9-b612-957f1766b513
2022-06-14,2022-06-14 18:26:46.182000,35.45,2706.6,4.581,109.36,109.00,121,199,-6.56,0.88,37b01863-e903-42c3-8d80-6bf226934c2f
2022-06-14,2022-06-14 19:17:27.319000,35.95,2683.3,4.478,110.61,110.00,129,204,-4.60,2.74,872cc286-cf71-4d46-8c3d-9540b4b227af
2022-06-17,2022-06-17 20:00:05.113000,40.64,2924.1,4.318,105.10,107.00,119,227,-9.01,-1.83,04587ff6-c809-4216-8714-d3e633c0691f
2022-06-17,2022-06-17 21:05:09.279000,32.35,2388.3,4.430,112.80,111.00,127,183,-2.08,5.21,6d9802be-c8cd-48c2-864a-aadd2ff72bd2
2022-06-22,2022-06-22 00:48:06.014000,37.19,3037.8,4.900,109.52,112.00,137,2053,-8.61,-0.85,96b6afd9-8579-481d-b19e-bbc66502f5b0
2022-06-22,2022-06-22 20:13:35.344000,43.01,2402.1,3.351,112.18,110.00,137,196,4.75,10.96,78e10bb6-698a-461c-8b31-ba5180c4eed2
2022-06-28,2022-06-28 18:12:57.620000,72.42,5314.3,4.403,109.80,110.00,135,438,-4.89,2.37,ebe9b455-80e1-4fa5-b00c-41dc7045f4f4
2022-06-29,2022-06-29 21:15:08.478000,40.05,3179.0,4.762,113.80,113.00,137,2197,-3.38,4.25,8852065e-fae9-4e27-bf97-e722119b62d2
2022-06-30,2022-06-30 23:29:25.952000,22.26,1583.9,4.269,106.74,107.00,119,1204,-7.03,0.10,6299e6b9-4ee3-4ec1-8785-0b4aa192b0c4
2022-07-01,2022-07-01 19:48:55.773000,86.66,5335.7,3.694,107.64,110.00,135,522,-2.16,4.39,9f2707f3-ff17-4de1-b289-37656f41a728
2022-07-16,2022-07-16 17:58:16.437000,78.19,5489.4,4.212,109.47,109.00,130,469,-3.91,3.17,434e9c98-3f56-453e-9694-a27b0a2207ef
2022-07-22,2022-07-22 21:53:21.231000,61.26,5507.1,5.394,106.26,109.00,126,328,-15.27,-7.01,b49a5ded-fed7-460b-8fb6-1e049bb2339c
2022-07-29,2022-07-29 19:02:27.592000,21.14,1430.8,4.061,98.38,100.00,111,1163,-13.95,-7.03,3c868e6c-b407-46a2-81f7-4b79dedccc5e
2022-08-04,2022-08-04 18:50:10.990000,25.06,1977.2,4.733,111.91,113.00,120,146,-5.06,2.53,489e6d4a-2b9a-4889-816b-ea68c6ac03f7
2022-08-07,2022-08-07 20:54:52.163000,37.30,2727.1,4.387,100.97,104.00,116,224,-13.61,-6.36,d52593e4-0985-4a33-a61f-958d6573fb82
