date,fm,surplus,sp,pressure,suppression,load,score,future_event
2013-02-04,28.94,-550.0,75.18720191546973,2543.5961053508354,3093.5961053508354,7264560.598349231,1.222007178908068,0.0
2013-02-05,28.79,-529.0,75.14080471355426,2549.294259245484,3078.294259245484,7269032.771084115,1.2235183785011825,1.0
2013-02-06,28.64,-529.0,75.0943039088407,2554.9867149862384,3083.9867149862384,7273716.654371161,1.2251011175716948,1.0
2013-02-07,28.49,-249.0,75.04769960493186,2560.673478271253,2809.673478271253,7273110.09953209,1.2248961555811047,1.0
2013-02-08,28.42,-585.0,75.00107190532694,2561.9589547929813,3146.9589547929813,7279165.4181250185,1.226942318718417,1.0
2013-02-09,28.25,-625.0,74.9543208334216,2568.737645838188,3193.737645838188,7286259.832990699,1.22933960466732,1.0
2013-02-10,28.07,-743.0,74.90743651258818,2576.0590081923497,3319.0590081923497,7295956.020191792,1.2326160599881888,1.0
2013-02-11,27.86,-575.0,74.86038907607559,2585.0213991841574,3160.0213991841574,7302651.934891056,1.2348786880593563,1.0
2013-02-12,27.7,-379.0,74.81322868699952,2591.2275777849736,2970.2275777849736,7305673.831626864,1.2358998223912139,1.0
2013-02-13,27.59,-169.0,74.76600545831252,2594.6803002071883,2763.6803002071883,7304639.585074063,1.2355503383568471,1.0
2013-02-14,27.54,-225.0,74.7187794528542,2594.8328699069816,2819.8328699069816,7304734.3766230885,1.2355823695324768,1.0
2013-02-15,27.48,-7.0,74.67154067340135,2595.534737037074,2602.534737037074,7300516.549522384,1.2341571163107723,1.0
2013-02-16,27.48,-471.0,74.62434913272796,2592.9392023000373,3063.9392023000373,7305458.054287569,1.23582690869877,1.0
2013-02-17,27.34,-364.0,74.57706478359523,2598.0385630977376,2962.0385630977376,7308450.4034975115,1.2368380585752607,1.0
2013-02-18,27.24,-280.0,74.52972771881164,2600.9350245346404,2880.9350245346404,7309867.235458243,1.2373168227039064,1.0
2013-02-19,27.16,344.0,74.48235799109283,2602.729689510106,2258.729689510106,7298888.492711472,1.2336069768291225,0.0
2013-02-20,27.26,-256.0,74.43513563310174,2594.632459820595,2850.632459820595,7299636.1728507895,1.2338596267130373,0.0
2013-02-21,27.19,-847.0,74.38789049746863,2595.8839773607747,3442.8839773607747,7312200.627587626,1.238105303258111,0.0
2013-02-22,26.95,-742.0,74.34045260697117,2606.4748933834144,3348.4748933834144,7323060.535601258,1.2417749934835023,0.0
2013-02-23,26.74,198.0,74.2928521543642,2615.4068684900312,2417.4068684900312,7315384.2007982405,1.2391810699660928,0.0
2013-02-24,26.79,-683.0,74.24534930220983,2610.044211621541,3293.044211621541,7325201.412794796,1.2424984209840875,0.0
2013-02-25,26.6,-1049.0,74.19770395290762,2617.8737174099188,3666.8737174099188,7342649.281159987,1.2483942602410387,0.0
2013-02-26,26.3,-894.0,74.1498062489547,2631.739343692509,3525.739343692509,7357503.740252198,1.2534137561028573,0.0
2013-02-27,26.04,-702.0,74.10169644270574,2643.393304348816,3345.393304348816,7368902.007076785,1.257265364081496,0.0
2013-02-28,25.84,-720.0,74.05343474626304,2651.738911044467,3371.738911044467,7380963.006927259,1.2613409173186108,0.0
2013-03-01,25.63,-300.0,74.00501131151677,2660.6256221334224,2960.6256221334224,7384769.522327082,1.2626271834948986,0.0
2013-03-02,25.55,-386.0,73.95655630020525,2662.360596511289,3048.360596511289,7390378.297001334,1.2645224542073839,1.0
2013-03-03,25.43,-832.0,73.90802974390505,2666.2916359147775,3498.2916359147775,7405239.7358717015,1.2695443086180636,1.0
2013-03-04,25.19,-785.0,73.85931171416114,2676.812144278863,3461.812144278863,7419520.351336576,1.274369895991201,1.0
2013-03-05,24.97,-857.0,73.81042240244697,2686.2232321345837,3543.2232321345837,7435619.145015046,1.2798098670966938,1.0
2013-03-06,24.72,-694.0,73.76133198004453,2697.2732589024495,3391.2732589024495,7448750.413766898,1.2842470767420395,1.0
2013-03-07,24.52,-898.0,73.71209064806449,2705.564985643547,3603.564985643547,7466403.263433251,1.29021218158359,1.0
2013-03-08,24.26,-253.0,73.66263855741643,2717.145120657903,2970.145120657903,7471036.509200884,1.2917778096426837,1.0
2013-03-09,24.19,-530.0,73.61316591885901,2718.2741255372457,3248.2741255372457,7481460.244738989,1.2953001120754692,1.0
2013-03-10,24.04,-723.0,73.56359275294015,2723.7976014117085,3446.7976014117085,7496090.228202886,1.3002437549910173,1.0
2013-03-11,23.83,-615.0,73.51385916018721,2732.612253810297,3347.612253810297,7508761.668637141,1.3045255832574114,1.0
2013-03-12,23.65,-610.0,73.46399530102703,2739.7697415564867,3349.7697415564867,7521565.068954936,1.3088520023153818,1.0
2013-03-13,23.47,-658.0,73.414001305726,2746.9200718149305,3404.9200718149305,7535616.268271186,1.3136000672825194,1.0
2013-03-14,23.28,-741.0,73.36386730442028,2754.6127017431154,3495.6127017431154,7551677.274544498,1.3190272695808383,1.0
2013-03-15,23.07,-710.0,73.31357343711586,2763.3965390413723,3473.3965390413723,7567379.62626748,1.3243332783021964,1.0
2013-03-16,22.86,462.0,73.26311986367875,2772.1715925023314,2310.1715925023314,7558455.588772293,1.3213177414186426,1.0
2013-03-17,22.99,-397.0,73.21284674381508,2762.2565709098294,3159.2565709098294,7567418.247920633,1.3243463290115476,1.0
2013-03-18,22.87,-919.0,73.16250389707126,2766.087714338919,3685.087714338919,7587563.968571849,1.3311538041820945,1.0
2013-03-19,22.61,-519.0,73.1119513931742,2777.6073266245808,3296.6073266245808,7599602.316174565,1.335221702959146,1.0
2013-03-20,22.46,-752.0,73.06129944178102,2783.071469297956,3535.071469297956,7616778.158946208,1.3410256215791594,1.0
2013-03-21,22.24,-187.0,73.01047814233924,2792.3762978286586,2979.3762978286586,7622169.783685977,1.3428475147831966,1.0
2013-03-22,22.18,-586.0,72.9596476641969,2792.880621530829,3378.880621530829,7636091.802552697,1.347551928162093,1.0
2013-03-23,22.01,-747.0,72.9086980165327,2799.428390909298,3546.428390909298,7653675.233070913,1.3534935754597073,1.0
2013-03-24,21.79,-443.0,72.85757931851616,2808.7168625183886,3251.7168625183886,7665025.8582059285,1.3573290847529498,1.0
2013-03-25,21.66,-164.0,72.80638173919765,2813.050995655871,2977.050995655871,7670469.720515859,1.3591686296443108,1.0
2013-03-26,21.61,359.0,72.75518535745844,2812.9851946602143,2453.9851946602143,7664581.835865023,1.3571790443988112,1.0
2013-03-27,21.71,-56.0,72.70414017210099,2804.6777094655545,2860.6777094655545,7667333.77982735,1.3581089585239308,1.0
2013-03-28,21.69,-148.0,72.65312603192889,2802.9719317560894,2950.9719317560894,7671968.910292346,1.3596752234443572,1.0
2013-03-29,21.65,-245.0,72.60212290589696,2802.366759824333,3047.366759824333,7678627.258656613,1.3619251574105498,1.0
2013-03-30,21.58,-454.0,72.55110078299107,2803.410543064509,3257.410543064509,7689776.531125209,1.3656926272774097,1.0
2013-03-31,21.46,855.0,72.50000968220807,2807.200532521444,1952.200532521444,7672824.682212298,1.3599643988080774,1.0
2013-04-01,21.7,-556.0,72.44920967252587,2791.2065319889225,3347.2065319889225,7685636.398601572,1.3642936279640874,1.0
2013-04-02,21.55,224.0,72.39831046285335,2796.6570754569343,2572.6570754569343,7681870.979286935,1.3630212486367417,1.0
