date,fat_mass_lbs_filtered,fat_mass_std_filtered,tdee_filtered,tdee_std_filtered,fat_mass_lbs,fat_mass_std,tdee,tdee_std,innovation
2024-11-11,82.8,0.32,2294.0,72.0,82.49,0.21,2306.0,46.0,0.813
2024-11-12,82.89,0.34,2293.0,73.0,82.56,0.21,2305.0,46.0,
2024-11-13,82.74,0.35,2293.0,74.0,82.39,0.21,2303.0,46.0,
2024-11-14,82.64,0.35,2288.0,73.0,82.21,0.21,2301.0,46.0,0.405
2024-11-15,82.39,0.34,2301.0,73.0,82.06,0.21,2299.0,46.0,-0.97
2024-11-16,82.12,0.34,2317.0,72.0,81.92,0.21,2297.0,46.0,-1.211
2024-11-17,82.0,0.34,2319.0,72.0,81.8,0.21,2294.0,46.0,-0.161
2024-11-18,82.09,0.35,2319.0,73.0,81.88,0.22,2292.0,46.0,
2024-11-19,82.2,0.37,2318.0,74.0,81.98,0.22,2289.0,46.0,
2024-11-20,82.0,0.36,2324.0,73.0,81.83,0.22,2286.0,46.0,-0.372
2024-11-21,81.67,0.35,2341.0,73.0,81.65,0.22,2283.0,46.0,-1.222
2024-11-22,81.44,0.35,2344.0,73.0,81.46,0.22,2279.0,46.0,-0.236
2024-11-23,81.36,0.34,2352.0,72.0,81.46,0.22,2276.0,46.0,-0.639
2024-11-24,81.07,0.34,2364.0,72.0,81.3,0.22,2273.0,46.0,-0.973
2024-11-25,80.88,0.33,2364.0,72.0,81.14,0.22,2269.0,46.0,-0.004
2024-11-26,80.93,0.33,2353.0,72.0,81.12,0.22,2266.0,46.0,0.886
2024-11-27,81.08,0.35,2352.0,73.0,81.29,0.22,2262.0,46.0,
2024-11-28,81.12,0.37,2352.0,74.0,81.35,0.22,2259.0,46.0,
2024-11-29,81.14,0.38,2352.0,75.0,81.4,0.22,2255.0,46.0,
2024-11-30,81.2,0.4,2351.0,76.0,81.48,0.22,2252.0,46.0,
2024-12-01,81.14,0.42,2351.0,77.0,81.44,0.22,2248.0,46.0,
2024-12-02,81.11,0.4,2350.0,75.0,81.44,0.22,2245.0,46.0,0.016
2024-12-03,81.11,0.39,2340.0,74.0,81.37,0.22,2241.0,46.0,0.604
2024-12-04,81.06,0.37,2327.0,73.0,81.23,0.22,2238.0,46.0,0.849
2024-12-05,80.9,0.36,2319.0,73.0,81.01,0.21,2234.0,46.0,0.562
2024-12-06,80.65,0.35,2332.0,72.0,80.9,0.21,2231.0,46.0,-0.968
2024-12-07,80.44,0.35,2340.0,72.0,80.81,0.21,2227.0,46.0,-0.685
2024-12-08,80.5,0.34,2321.0,72.0,80.73,0.21,2223.0,46.0,1.467
2024-12-09,80.51,0.34,2310.0,72.0,80.65,0.21,2220.0,46.0,0.931
2024-12-10,80.4,0.33,2311.0,72.0,80.59,0.21,2216.0,46.0,-0.154
2024-12-11,80.36,0.33,2299.0,71.0,80.46,0.21,2212.0,46.0,1.007
2024-12-12,80.2,0.33,2299.0,71.0,80.31,0.22,2209.0,46.0,-0.039
2024-12-13,79.92,0.33,2315.0,71.0,80.21,0.22,2205.0,46.0,-1.327
2024-12-14,79.8,0.32,2317.0,71.0,80.14,0.22,2201.0,46.0,-0.204
2024-12-15,79.65,0.32,2314.0,71.0,80.0,0.22,2197.0,46.0,0.235
2024-12-16,79.57,0.32,2317.0,71.0,79.97,0.22,2194.0,46.0,-0.231
2024-12-17,79.45,0.32,2328.0,71.0,80.01,0.23,2190.0,45.0,-1.009
2024-12-18,79.38,0.34,2328.0,72.0,79.99,0.23,2187.0,45.0,
2024-12-19,79.51,0.36,2328.0,73.0,80.18,0.23,2183.0,45.0,
2024-12-20,79.49,0.37,2327.0,74.0,80.21,0.23,2180.0,45.0,
2024-12-21,79.34,0.39,2327.0,75.0,80.12,0.23,2177.0,45.0,
2024-12-22,79.33,0.41,2327.0,76.0,80.16,0.23,2175.0,45.0,
2024-12-23,79.58,0.43,2326.0,77.0,80.47,0.23,2172.0,45.0,
2024-12-24,79.56,0.45,2326.0,78.0,80.5,0.23,2170.0,45.0,
2024-12-25,79.68,0.47,2326.0,79.0,80.68,0.23,2167.0,45.0,
2024-12-26,79.56,0.48,2325.0,80.0,80.63,0.23,2165.0,45.0,
2024-12-27,79.63,0.45,2311.0,77.0,80.62,0.23,2163.0,45.0,0.654
2024-12-28,79.79,0.42,2282.0,75.0,80.55,0.22,2162.0,45.0,1.578
2024-12-29,79.75,0.4,2266.0,74.0,80.4,0.22,2160.0,45.0,0.948
2024-12-30,79.83,0.39,2249.0,73.0,80.35,0.22,2159.0,46.0,1.106
2024-12-31,79.82,0.37,2253.0,73.0,80.43,0.22,2158.0,46.0,-0.291
2025-01-01,79.85,0.39,2253.0,74.0,80.5,0.21,2157.0,46.0,
2025-01-02,79.83,0.38,2234.0,73.0,80.33,0.21,2156.0,46.0,1.324
2025-01-03,79.72,0.37,2227.0,73.0,80.18,0.21,2155.0,46.0,0.513
2025-01-04,79.62,0.36,2224.0,72.0,80.09,0.21,2155.0,46.0,0.206
2025-01-05,79.52,0.35,2220.0,72.0,79.98,0.21,2154.0,46.0,0.329
2025-01-06,79.48,0.34,2216.0,72.0,79.94,0.21,2154.0,46.0,0.314
2025-01-07,79.53,0.34,2215.0,72.0,80.01,0.2,2154.0,46.0,0.078
2025-01-08,79.52,0.33,2207.0,72.0,79.95,0.2,2154.0,46.0,0.759
2025-01-09,79.45,0.33,2195.0,72.0,79.81,0.2,2154.0,46.0,0.986
2025-01-10,79.21,0.33,2208.0,72.0,79.71,0.2,2155.0,46.0,-1.042
2025-01-11,78.91,0.33,2222.0,72.0,79.58,0.2,2156.0,46.0,-1.219
2025-01-12,78.83,0.32,2222.0,72.0,79.55,0.2,2157.0,46.0,0.017
2025-01-13,78.84,0.32,2211.0,72.0,79.51,0.2,2159.0,46.0,1.0
2025-01-14,78.77,0.32,2216.0,72.0,79.52,0.2,2160.0,46.0,-0.376
2025-01-15,78.74,0.32,2208.0,72.0,79.48,0.2,2163.0,46.0,0.67
2025-01-16,78.69,0.32,2202.0,72.0,79.43,0.2,2166.0,46.0,0.567
2025-01-17,78.74,0.32,2184.0,72.0,79.36,0.2,2169.0,46.0,1.546
2025-01-18,78.75,0.32,2170.0,72.0,79.29,0.2,2172.0,46.0,1.228
2025-01-19,78.87,0.32,2147.0,72.0,79.24,0.2,2176.0,46.0,1.954
2025-01-20,79.11,0.32,2122.0,72.0,79.27,0.2,2181.0,46.0,2.18
2025-01-21,79.28,0.32,2102.0,72.0,79.26,0.2,2185.0,46.0,1.759
2025-01-22,79.4,0.32,2095.0,72.0,79.3,0.2,2190.0,46.0,0.666
2025-01-23,79.32,0.32,2095.0,72.0,79.19,0.2,2194.0,46.0,0.079
2025-01-24,79.29,0.32,2095.0,72.0,79.13,0.2,2199.0,46.0,0.116
2025-01-25,79.26,0.32,2090.0,72.0,79.03,0.2,2204.0,45.0,0.485
2025-01-26,79.27,0.32,2082.0,72.0,78.93,0.2,2208.0,45.0,0.669
2025-01-27,79.17,0.32,2083.0,72.0,78.79,0.2,2213.0,45.0,0.052
2025-01-28,79.04,0.32,2096.0,72.0,78.74,0.2,2218.0,45.0,-1.077
2025-01-29,79.04,0.32,2095.0,72.0,78.68,0.2,2223.0,45.0,0.198
2025-01-30,78.91,0.32,2099.0,72.0,78.54,0.2,2227.0,45.0,-0.35
2025-01-31,78.71,0.32,2109.0,72.0,78.38,0.2,2232.0,45.0,-0.718
2025-02-01,78.61,0.32,2115.0,72.0,78.29,0.2,2236.0,45.0,-0.443
2025-02-02,78.61,0.32,2108.0,72.0,78.19,0.2,2241.0,45.0,0.592
2025-02-03,78.51,0.32,2114.0,72.0,78.09,0.2,2245.0,45.0,-0.398
2025-02-04,78.43,0.32,2118.0,72.0,78.0,0.2,2250.0,45.0,-0.332
2025-02-05,78.35,0.32,2125.0,72.0,77.93,0.2,2254.0,45.0,-0.545
2025-02-06,78.11,0.32,2133.0,72.0,77.71,0.2,2258.0,45.0,-0.617
2025-02-07,77.94,0.32,2141.0,72.0,77.56,0.2,2262.0,45.0,-0.574
2025-02-08,77.87,0.32,2144.0,71.0,77.47,0.2,2266.0,45.0,-0.212
2025-02-09,77.9,0.32,2148.0,71.0,77.49,0.21,2270.0,45.0,-0.298
2025-02-10,78.06,0.33,2148.0,73.0,77.6,0.21,2274.0,45.0,
2025-02-11,77.95,0.33,2154.0,72.0,77.5,0.21,2278.0,45.0,-0.369
2025-02-12,77.87,0.33,2166.0,72.0,77.48,0.21,2281.0,45.0,-0.901
2025-02-13,77.69,0.33,2175.0,72.0,77.33,0.21,2285.0,45.0,-0.693
2025-02-14,77.52,0.33,2185.0,72.0,77.21,0.21,2288.0,45.0,-0.778
2025-02-15,77.54,0.32,2196.0,72.0,77.29,0.21,2291.0,45.0,-0.855
2025-02-16,77.68,0.34,2196.0,73.0,77.4,0.21,2295.0,45.0,
2025-02-17,77.66,0.36,2196.0,74.0,77.35,0.21,2298.0,45.0,
2025-02-18,77.52,0.35,2204.0,73.0,77.26,0.21,2301.0,45.0,-0.562
2025-02-19,77.41,0.35,2203.0,73.0,77.1,0.21,2305.0,45.0,0.132
2025-02-20,77.31,0.34,2195.0,72.0,76.91,0.21,2308.0,45.0,0.569
2025-02-21,77.17,0.34,2203.0,72.0,76.79,0.21,2311.0,45.0,-0.565
