date,fm,surplus,sp,pressure,required_control,control_stock,control_exerted,control_shortfall,surplus_pred_no_control,surplus_pred_with_control
2016-02-28,36.96,-773.0,42.14271627046259,285.04939487544254,658.0493948754425,57.14378578067297,57.14378578067297,600.9056090947696,-114.95060512455746,-172.09439090523043
2016-02-29,36.74,-380.0,42.049900838706215,292.0445461288417,272.0445461288417,57.143395752790326,57.143395752790326,214.9011503760514,-107.95545387115828,-165.0988496239486
2016-03-01,36.63,-565.0,41.95679018635315,292.9734602494233,457.9734602494233,57.14316953661839,57.14316953661839,400.83029071280487,-107.02653975057672,-164.1697092871951
2016-03-02,36.47,-808.0,41.862530415043814,296.5891728274098,704.5891728274098,57.14303833123866,57.14303833123866,647.4461344961711,-103.41082717259019,-160.55386550382883
2016-03-03,36.24,-799.0,41.76593870785224,303.92662893187327,702.9266289318732,57.14296223211843,57.14296223211843,645.7836666997548,-96.07337106812673,-153.21633330024517
2016-03-04,36.01,-748.0,41.66705512604112,311.1380319322617,659.1380319322617,57.14291809462868,57.14291809462868,601.995113837633,-88.8619680677383,-146.00488616236697
2016-03-05,35.8,-486.0,41.56626263067372,317.1444446870547,403.1444446870547,57.142892494884634,57.142892494884634,346.0015521921701,-82.85555531294528,-139.9984478078299
2016-03-06,35.66,-657.0,41.4647965738442,319.263811561431,576.263811561431,57.14287764703309,57.14287764703309,519.1209339143979,-80.736188438569,-137.8790660856021
2016-03-07,35.47,-531.0,41.361809556862575,324.04952562744165,455.04952562744165,57.1428690352792,57.1428690352792,397.90665659216245,-75.95047437255835,-133.09334340783755
2016-03-08,35.32,-486.0,41.25801488497209,326.59081867346504,412.59081867346504,57.14286404046193,57.14286404046193,355.4479546330031,-73.40918132653496,-130.55204536699688
2016-03-09,35.18,-687.0,41.15359822721521,328.5479024968367,615.5479024968367,57.14286114346792,57.14286114346792,558.4050413533688,-71.45209750316332,-128.59495864663123
2016-03-10,34.99,-560.0,41.0477112988641,333.17412143752546,493.17412143752546,57.142859463211394,57.142859463211394,436.0312619743141,-66.82587856247454,-123.96873802568594
2016-03-11,34.83,-424.0,40.94089474033119,336.09921071821543,360.09921071821543,57.1428584886626,57.1428584886626,302.95635222955286,-63.90078928178457,-121.04364777044717
2016-03-12,34.7,-483.0,40.83367990415021,337.35239472826134,420.35239472826134,57.1428579234243,57.1428579234243,363.20953680483706,-62.647605271738655,-119.79046319516296
2016-03-13,34.56,-571.0,40.72590183847822,339.1246011163021,510.1246011163021,57.142857595586094,57.142857595586094,452.981743520716,-60.875398883697926,-118.01825647928402
2016-03-14,34.4,-778.0,40.617226631231674,341.94746471774215,719.9474647177422,57.142857405439926,57.142857405439926,662.8046073123022,-58.05253528225785,-115.19539268769778
2016-03-15,34.18,-496.0,40.50663893067854,347.9651411873198,443.9651411873198,57.14285729515515,57.14285729515515,386.8222838921646,-52.03485881268023,-109.17771610783538
2016-03-16,34.03,-206.0,40.39537415041096,350.09557827260267,156.09557827260267,57.14285723118998,57.14285723118998,98.95272104141269,-49.904421727397335,-107.04727895858731
2016-03-17,33.97,-725.0,40.28499006838408,347.32445376112463,672.3244537611247,57.14285719409018,57.14285719409018,615.1815965670345,-52.67554623887537,-109.81840343296555
2016-03-18,33.76,-465.0,40.17289464451106,352.70920544810843,417.70920544810843,57.142857172572306,57.142857172572306,360.56634827553614,-47.290794551891565,-104.43365172446387
2016-03-19,33.63,-493.0,40.06049163073688,353.6770396905281,446.6770396905281,57.142857160091935,57.142857160091935,389.53418253043617,-46.32296030947191,-103.46581746956385
2016-03-20,33.49,-573.0,39.94761451725738,355.1687984491557,528.1687984491557,57.142857152853324,57.142857152853324,471.0259412963024,-44.8312015508443,-101.97405870369762
2016-03-21,33.33,-604.0,39.83392786079264,357.7160323435954,561.7160323435953,57.142857148654926,57.142857148654926,504.5731751949404,-42.28396765640463,-99.42682480505955
2016-03-22,33.16,-454.0,39.71927377479205,360.76005761356294,414.76005761356294,57.14285714621985,57.14285714621985,357.6172004673431,-39.239942386437065,-96.38279953265692
2016-03-23,33.03,-583.0,39.60435605517417,361.5895830345794,544.5895830345794,57.14285714480751,57.14285714480751,487.44672588977187,-38.41041696542061,-95.55327411022812
2016-03-24,32.87,-656.0,39.488663848963114,364.0265116929714,620.0265116929713,57.14285714398835,57.14285714398835,562.883654548983,-35.97348830702862,-93.11634545101697
2016-03-25,32.68,-387.0,39.37169507933134,368.04322936322365,355.04322936322365,57.14285714351325,57.14285714351325,297.9003722197104,-31.956770636776355,-89.09962778028961
2016-03-26,32.58,-503.0,39.25501782300526,367.12598026528946,470.12598026528946,57.142857143237684,57.142857143237684,412.9831231220518,-32.874019734710544,-90.01687687794822
2016-03-27,32.43,-351.0,39.137768101888035,368.9272456038419,319.9272456038419,57.14285714307785,57.14285714307785,262.7843884607641,-31.072754396158075,-88.21561153923592
2016-03-28,32.34,-549.0,39.02098651466942,367.45425830681774,516.4542583068178,57.14285714298515,57.14285714298515,459.31140116383267,-32.545741693182265,-89.68859883616742
2016-03-29,32.18,-394.0,38.903462460987384,369.79043535430617,363.79043535430617,57.14285714293139,57.14285714293139,306.64757821137476,-30.20956464569383,-87.35242178862522
2016-03-30,32.07,-510.0,38.786067666044126,369.3837216324269,479.3837216324269,57.1428571429002,57.1428571429002,422.2408644895267,-30.616278367573102,-87.7591355104733
2016-03-31,31.93,-657.0,38.66828452720823,370.6056489964526,627.6056489964526,57.14285714288211,57.14285714288211,570.4627918535705,-29.3943510035474,-86.5372081464295
