family,sp_params,baseline,suppress_thresh,require_positive_pressure,min_run,n_expr,expr_frac,slope,intercept,corr,rmse_expr,score,trial_mean_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
HoldMean,"tol=2.5,hold=28,rate=0.0075",-200,50,False,1,944,0.45341018251681076,0.5193823513870318,428.17150116624737,0.25610642624840163,589.9710962644264,-2.610271713779221,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-100,0,True,3,76,0.03650336215177714,1.7878289349028729,428.010310230276,0.5332089699610328,452.00105242867477,-2.6167897372165183,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",0,100,True,3,76,0.03650336215177714,1.7878289349028729,428.010310230276,0.5332089699610328,452.00105242867477,-2.6167897372165183,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=3,hold=42,rate=0.0075",-300,50,False,1,1020,0.4899135446685879,0.4714965302871458,363.77740526378733,0.24361534340610952,602.0331135064415,-2.6258410258217597,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=2.5,hold=28,rate=0.0075",-300,0,False,3,708,0.3400576368876081,0.5264448131004154,469.15071669286465,0.19784751080648924,629.1309544423791,-2.626247222891092,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-200,100,False,3,708,0.3400576368876081,0.5264448131004154,469.15071669286465,0.19784751080648924,629.1309544423791,-2.626247222891092,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-100,200,False,3,708,0.3400576368876081,0.5264448131004154,469.15071669286465,0.19784751080648924,629.1309544423791,-2.626247222891092,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-400,0,True,7,74,0.03554274735830932,1.4292135135083688,349.88726765892,0.17584762566713938,617.0744820531994,-2.6272938598683293,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-300,100,True,7,74,0.03554274735830932,1.4292135135083688,349.88726765892,0.17584762566713938,617.0744820531994,-2.6272938598683293,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-200,200,True,7,74,0.03554274735830932,1.4292135135083688,349.88726765892,0.17584762566713938,617.0744820531994,-2.6272938598683293,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=3,hold=42,rate=0.0075",-400,100,True,7,120,0.05763688760806916,1.5325853598599188,265.86399599984054,0.19546023153141884,603.938166662458,-2.638994644782552,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-300,200,True,7,120,0.05763688760806916,1.5325853598599188,265.86399599984054,0.19546023153141884,603.938166662458,-2.638994644782552,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-400,0,False,3,805,0.3866474543707973,0.48185442340925194,399.81817530511177,0.18776090976608717,639.5505368878188,-2.6400735570356355,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-300,100,False,3,805,0.3866474543707973,0.48185442340925194,399.81817530511177,0.18776090976608717,639.5505368878188,-2.6400735570356355,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=3,hold=42,rate=0.0075",-200,200,False,3,805,0.3866474543707973,0.48185442340925194,399.81817530511177,0.18776090976608717,639.5505368878188,-2.6400735570356355,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
HoldMean,"tol=2.5,hold=28,rate=0.0075",-300,50,False,7,540,0.25936599423631124,0.5165907120112145,491.1486337525165,0.1559047874205897,653.3629280149911,-2.644914431155019,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-300,0,False,1,991,0.4759846301633045,0.4783560897000667,391.31048479576936,0.23580560965375688,594.0855151618247,-2.6495798964072566,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-200,100,False,1,991,0.4759846301633045,0.4783560897000667,391.31048479576936,0.23580560965375688,594.0855151618247,-2.6495798964072566,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=2.5,hold=28,rate=0.0075",-100,200,False,1,991,0.4759846301633045,0.4783560897000667,391.31048479576936,0.23580560965375688,594.0855151618247,-2.6495798964072566,20.886761104752257,6.603109265111651,2.45993426376403,3.1447672107079745
HoldMean,"tol=3,hold=42,rate=0.0075",-400,0,False,7,602,0.28914505283381364,0.4820431159721814,444.33700897093365,0.14993102262870608,668.153182058996,-2.649893138631022,20.571858156695527,6.757090338351465,2.513775002494898,3.2291502884005383
