date,year,walk_regime,first_start,first_duration_min,second_duration_min,break_min,regime_duration_min,regime_distance_m,regime_steps,source_types
2023-01-29,2023,single_daylight_walk,2023-01-29 18:20:22,40.52,,,40.52,3365.29,4068.0,4.0
2023-02-07,2023,paired_daylight_walk,2023-02-07 14:53:40,37.58,33.25,18.38,70.83,5549.22,6714.0,4.0
2023-02-09,2023,single_daylight_walk,2023-02-09 17:34:29,36.04,,,36.04,2927.38,3546.0,4.0
2023-02-22,2023,paired_daylight_walk,2023-02-22 17:10:03,34.3,33.98,11.73,68.28,5176.59,6109.0,4.0
2023-02-28,2023,single_daylight_walk,2023-02-28 17:01:03,23.92,,,23.92,1810.03,2406.0,4.0
2023-03-01,2023,paired_daylight_walk,2023-03-01 17:23:55,34.89,34.18,12.28,69.07,5242.0,6870.0,4.0
2023-03-03,2023,paired_daylight_walk,2023-03-03 17:18:50,33.76,34.19,13.65,67.95,5204.02,6884.0,4.0
2023-03-05,2023,paired_daylight_walk,2023-03-05 15:27:55,33.58,30.1,24.48,63.68,4788.45,6344.0,4.0
2023-03-16,2023,paired_daylight_walk,2023-03-16 13:39:46,37.35,32.23,7.68,69.58,5064.6,6467.0,4.0
2023-03-24,2023,paired_daylight_walk,2023-03-24 14:22:01,33.1,30.23,29.65,63.33,5478.8,6478.0,"4.0,7.0"
2023-03-25,2023,borderline_paired_daylight_walk,2023-03-25 14:06:48,25.19,15.65,73.98,40.84,2566.9,3443.0,4.0
2023-03-26,2023,paired_daylight_walk,2023-03-26 13:49:25,34.59,34.44,12.83,69.03,5886.59,6994.0,4.0
2023-03-27,2023,single_daylight_walk,2023-03-27 18:37:36,29.27,,,29.27,2571.72,2837.0,7.0
2023-03-29,2023,paired_daylight_walk,2023-03-29 14:42:22,34.58,21.68,16.58,56.26,4513.44,5514.0,4.0
2023-03-30,2023,borderline_paired_daylight_walk,2023-03-30 15:09:10,20.35,19.5,7.47,39.85,3243.63,3987.0,4.0
2023-03-31,2023,single_daylight_walk,2023-03-31 18:17:07,34.06,,,34.06,2745.42,3339.0,4.0
