half_life_days,surplus_window_days,r,abs_r,n
115,135,-0.8852427757831353,0.8852427757831353,3518
110,180,-0.885235806224894,0.885235806224894,3473
65,155,-0.8851811964353369,0.8851811964353369,3498
105,180,-0.8850876972174836,0.8850876972174836,3473
115,180,-0.8847757036229316,0.8847757036229316,3473
90,175,-0.884699883894176,0.884699883894176,3478
75,165,-0.8846888133871225,0.8846888133871225,3488
75,85,-0.8843754535913777,0.8843754535913777,3568
100,115,-0.8842379359139396,0.8842379359139396,3538
100,180,-0.8842143898362786,0.8842143898362786,3473
120,180,-0.8838050371984734,0.8838050371984734,3473
120,140,-0.8836223199333805,0.8836223199333805,3513
80,90,-0.8835455658039202,0.8835455658039202,3563
80,170,-0.8832526242499215,0.8832526242499215,3483
45,50,-0.883213990269445,0.883213990269445,3603
105,120,-0.8830142659940373,0.8830142659940373,3533
60,150,-0.8829426081498621,0.8829426081498621,3503
95,180,-0.88247546608556,0.88247546608556,3473
85,95,-0.8824516194635319,0.8824516194635319,3558
45,125,-0.882356189603657,0.882356189603657,3528
110,125,-0.8822671951758932,0.8822671951758932,3528
40,115,-0.881919100987389,0.881919100987389,3538
35,105,-0.8816015428505051,0.8816015428505051,3548
115,130,-0.8815693926479548,0.8815693926479548,3523
50,135,-0.881383303156021,0.881383303156021,3518
85,175,-0.8813634125075497,0.8813634125075497,3478
90,100,-0.8811424588059027,0.8811424588059027,3553
30,95,-0.8804594423496963,0.8804594423496963,3558
120,135,-0.8804176332744891,0.8804176332744891,3518
50,55,-0.880382393357148,0.880382393357148,3598
95,105,-0.879888543618,0.879888543618,3548
90,180,-0.8797021170518118,0.8797021170518118,3473
100,110,-0.8788036056410972,0.8788036056410972,3543
55,145,-0.8786001862974366,0.8786001862974366,3508
55,60,-0.878074438887582,0.878074438887582,3593
70,165,-0.8779633126152016,0.8779633126152016,3488
105,115,-0.8779495118676148,0.8779495118676148,3538
75,170,-0.8776016281577262,0.8776016281577262,3483
65,160,-0.8775414988135112,0.8775414988135112,3493
110,120,-0.8771147848444311,0.8771147848444311,3533
115,125,-0.8767121639226177,0.8767121639226177,3528
80,175,-0.8765969080184157,0.8765969080184157,3478
60,65,-0.8763468693416114,0.8763468693416114,3588
120,130,-0.876332216835845,0.876332216835845,3523
85,180,-0.8756911526581899,0.8756911526581899,3473
60,155,-0.875465124443998,0.875465124443998,3498
65,70,-0.8753535587826009,0.8753535587826009,3583
70,75,-0.8750040343725608,0.8750040343725608,3578
75,80,-0.8748427861687053,0.8748427861687053,3573
80,85,-0.8745135761203262,0.8745135761203262,3568
85,90,-0.8744063927445631,0.8744063927445631,3563
45,130,-0.8740841203204159,0.8740841203204159,3523
90,95,-0.8739801638715693,0.8739801638715693,3558
25,85,-0.8736431133728368,0.8736431133728368,3568
95,100,-0.8732793996703351,0.8732793996703351,3553
15,55,-0.8729840429522644,0.8729840429522644,3598
50,140,-0.8727909629355154,0.8727909629355154,3513
100,105,-0.8725742021970312,0.8725742021970312,3548
20,70,-0.8725467580608165,0.8725467580608165,3583
40,120,-0.8721305144855005,0.8721305144855005,3533
105,110,-0.8719807077464636,0.8719807077464636,3543
110,115,-0.8715667813984047,0.8715667813984047,3538
115,120,-0.8711275114285508,0.8711275114285508,3533
120,125,-0.8710752227294716,0.8710752227294716,3528
55,150,-0.8710644017686952,0.8710644017686952,3503
80,180,-0.870197805457565,0.870197805457565,3473
75,175,-0.8701069713839531,0.8701069713839531,3478
35,110,-0.8700529004214849,0.8700529004214849,3543
70,170,-0.8699371609494116,0.8699371609494116,3483
65,165,-0.868867948211318,0.868867948211318,3488
30,100,-0.8669583885109966,0.8669583885109966,3553
30,30,-0.8668931167176189,0.8668931167176189,3623
35,35,-0.8668035939373271,0.8668035939373271,3618
60,160,-0.8666835515452024,0.8666835515452024,3493
40,40,-0.8657502171437829,0.8657502171437829,3613
95,95,-0.8654711074539339,0.8654711074539339,3558
100,100,-0.8653789763150437,0.8653789763150437,3553
90,90,-0.8652264673438861,0.8652264673438861,3563
105,105,-0.8652216805792895,0.8652216805792895,3548
115,115,-0.8651441121492168,0.8651441121492168,3538
45,45,-0.865123244423293,0.865123244423293,3608
110,110,-0.8651187215016826,0.8651187215016826,3543
120,120,-0.8650992828318453,0.8650992828318453,3533
85,85,-0.8646014687812255,0.8646014687812255,3568
45,135,-0.8645991029240129,0.8645991029240129,3518
50,50,-0.8644472677250064,0.8644472677250064,3603
80,80,-0.8641161522324974,0.8641161522324974,3573
50,145,-0.8638948565039954,0.8638948565039954,3508
55,55,-0.8635774196970303,0.8635774196970303,3598
75,75,-0.8633757864870182,0.8633757864870182,3578
75,180,-0.8629271581881583,0.8629271581881583,3473
60,60,-0.8629022024099293,0.8629022024099293,3593
40,125,-0.8627823735342377,0.8627823735342377,3528
70,70,-0.8627144089225048,0.8627144089225048,3583
65,65,-0.8625431083354526,0.8625431083354526,3588
55,155,-0.8623764714032355,0.8623764714032355,3498
70,175,-0.8615383687074047,0.8615383687074047,3478
25,90,-0.8599331469772677,0.8599331469772677,3563
65,170,-0.8598293563979827,0.8598293563979827,3483
120,115,-0.8587228771795327,0.8587228771795327,3538
35,115,-0.8584219780321742,0.8584219780321742,3538
115,110,-0.858265438975343,0.858265438975343,3543
20,75,-0.8579468728159124,0.8579468728159124,3578
110,105,-0.8578865074281938,0.8578865074281938,3548
105,100,-0.8575060979500766,0.8575060979500766,3553
100,95,-0.8570009243683849,0.8570009243683849,3558
60,165,-0.8568788987731814,0.8568788987731814,3488
95,90,-0.8560968640826017,0.8560968640826017,3563
50,150,-0.8550896912058956,0.8550896912058956,3503
90,85,-0.8547492455777858,0.8547492455777858,3568
45,140,-0.8544720336042928,0.8544720336042928,3513
70,180,-0.8535240685742803,0.8535240685742803,3473
85,80,-0.8534578279332503,0.8534578279332503,3573
30,105,-0.852847165881022,0.852847165881022,3548
40,130,-0.852771513912837,0.852771513912837,3523
55,160,-0.8523702470806064,0.8523702470806064,3493
80,75,-0.8518222624305174,0.8518222624305174,3578
120,110,-0.8514565393619531,0.8514565393619531,3543
115,105,-0.8506095723408147,0.8506095723408147,3548
65,175,-0.8504614496596505,0.8504614496596505,3478
75,70,-0.8501527808284063,0.8501527808284063,3583
15,60,-0.8497339990176719,0.8497339990176719,3593
110,100,-0.849707882736607,0.849707882736607,3553
70,65,-0.8488195632197009,0.8488195632197009,3588
105,95,-0.8486243088679022,0.8486243088679022,3558
65,60,-0.8478183845237752,0.8478183845237752,3593
100,90,-0.8470817257490608,0.8470817257490608,3563
60,55,-0.846881091585566,0.846881091585566,3598
60,170,-0.8467561187647101,0.8467561187647101,3483
35,120,-0.8465391210296742,0.8465391210296742,3533
55,50,-0.8458240620133061,0.8458240620133061,3603
50,155,-0.8451182260823421,0.8451182260823421,3498
95,85,-0.8450332434008018,0.8450332434008018,3568
25,95,-0.8443023644961506,0.8443023644961506,3558
50,45,-0.8441709472340807,0.8441709472340807,3608
45,145,-0.8441430781702673,0.8441430781702673,3508
120,105,-0.8434206102088356,0.8434206102088356,3548
90,80,-0.842959724347278,0.842959724347278,3573
20,80,-0.8423457148799728,0.8423457148799728,3573
115,100,-0.8420180297367841,0.8420180297367841,3553
45,40,-0.8419590582009908,0.8419590582009908,3613
40,135,-0.8415929167846875,0.8415929167846875,3518
65,180,-0.8415615878987147,0.8415615878987147,3473
55,165,-0.8413575372703038,0.8413575372703038,3488
85,75,-0.8404553942162438,0.8404553942162438,3578
110,95,-0.8403797123327701,0.8403797123327701,3558
40,35,-0.8393945229316965,0.8393945229316965,3618
30,110,-0.8386744869721375,0.8386744869721375,3543
105,90,-0.8382253652329663,0.8382253652329663,3563
80,70,-0.8378068873826032,0.8378068873826032,3583
60,175,-0.8363578491484762,0.8363578491484762,3478
100,85,-0.8355052898207832,0.8355052898207832,3568
35,125,-0.8353581004862114,0.8353581004862114,3528
75,65,-0.8353483552373653,0.8353483552373653,3588
35,30,-0.8348133398007942,0.8348133398007942,3623
120,100,-0.8344601133688478,0.8344601133688478,3553
45,150,-0.8340196090987712,0.8340196090987712,3503
50,160,-0.8338152780816502,0.8338152780816502,3493
70,60,-0.833038316523284,0.833038316523284,3593
95,80,-0.8326831101285747,0.8326831101285747,3573
115,95,-0.8322934630900196,0.8322934630900196,3558
65,55,-0.8305639534151323,0.8305639534151323,3598
55,170,-0.8300856836970162,0.8300856836970162,3483
40,140,-0.8298716196048704,0.8298716196048704,3513
110,90,-0.8295574716140075,0.8295574716140075,3563
90,75,-0.8293483186707955,0.8293483186707955,3578
15,65,-0.8279217363103922,0.8279217363103922,3588
60,50,-0.8276882191729146,0.8276882191729146,3603
25,100,-0.8275006568083213,0.8275006568083213,3553
60,180,-0.8265281481073494,0.8265281481073494,3473
105,85,-0.8261993795163249,0.8261993795163249,3568
85,70,-0.8257650347781084,0.8257650347781084,3583
20,85,-0.8256409977081139,0.8256409977081139,3568
30,115,-0.8247040739317192,0.8247040739317192,3538
120,95,-0.8243828500596259,0.8243828500596259,3558
55,45,-0.8238645006868207,0.8238645006868207,3608
35,130,-0.8235748402459159,0.8235748402459159,3523
45,155,-0.8227146420369236,0.8227146420369236,3498
100,80,-0.8226673024884151,0.8226673024884151,3573
80,65,-0.8222364817146266,0.8222364817146266,3588
50,165,-0.8215296258331055,0.8215296258331055,3488
115,90,-0.8210969555928506,0.8210969555928506,3563
50,40,-0.8190426144700448,0.8190426144700448,3613
75,60,-0.8186912089406942,0.8186912089406942,3593
55,175,-0.8186051059276773,0.8186051059276773,3478
95,75,-0.8185468856482898,0.8185468856482898,3578
40,145,-0.8180783383991499,0.8180783383991499,3508
110,85,-0.8171365295262364,0.8171365295262364,3568
70,55,-0.8147809825516117,0.8147809825516117,3598
90,70,-0.8140811834056748,0.8140811834056748,3583
45,35,-0.8132221387292388,0.8132221387292388,3618
105,80,-0.8129358726933591,0.8129358726933591,3573
120,90,-0.8128548067600189,0.8128548067600189,3563
30,120,-0.8107283090682567,0.8107283090682567,3533
35,135,-0.8106836760353963,0.8106836760353963,3518
25,105,-0.8104288195036838,0.8104288195036838,3548
65,50,-0.8102251576161651,0.8102251576161651,3603
45,160,-0.8100655526057523,0.8100655526057523,3493
85,65,-0.8095472878469208,0.8095472878469208,3588
50,170,-0.8090587981132381,0.8090587981132381,3483
20,90,-0.80836596050114,0.80836596050114,3563
115,85,-0.8083283372143537,0.8083283372143537,3568
100,75,-0.8080776995073458,0.8080776995073458,3578
15,70,-0.8080378872160402,0.8080378872160402,3583
55,180,-0.8078143632295828,0.8078143632295828,3473
40,150,-0.8066330603305174,0.8066330603305174,3503
80,60,-0.8048503741475161,0.8048503741475161,3593
40,30,-0.8045483678001247,0.8045483678001247,3623
60,45,-0.8044246212079825,0.8044246212079825,3608
110,80,-0.8035011197320385,0.8035011197320385,3573
95,70,-0.8027855499266686,0.8027855499266686,3583
120,85,-0.7997796026689286,0.7997796026689286,3568
75,55,-0.7996150392805818,0.7996150392805818,3598
105,75,-0.7979538046789068,0.7979538046789068,3578
30,125,-0.7977930390463481,0.7977930390463481,3528
35,140,-0.7973768857151702,0.7973768857151702,3513
90,65,-0.7973146710692087,0.7973146710692087,3588
55,40,-0.7972638522787358,0.7972638522787358,3613
45,165,-0.7964660673185657,0.7964660673185657,3488
50,175,-0.7964618669411329,0.7964618669411329,3478
115,80,-0.7943673200255708,0.7943673200255708,3573
40,155,-0.7939874423604387,0.7939874423604387,3498
25,110,-0.7936887040101694,0.7936887040101694,3543
70,50,-0.79352606862044,0.79352606862044,3603
100,70,-0.7918919325340752,0.7918919325340752,3583
85,60,-0.7915525449702203,0.7915525449702203,3593
15,75,-0.7893435664815706,0.7893435664815706,3578
20,95,-0.789293074233968,0.789293074233968,3558
