com.samsung.shealth.sleep,6060029,2
com.samsung.health.sleep.datauuid,efficiency,original_efficiency,original_bed_time,has_sleep_data,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.end_time,com.samsung.health.sleep.custom,original_wake_up_time,quality,com.samsung.health.sleep.deviceuuid,extra_data,com.samsung.health.sleep.start_time,com.samsung.health.sleep.update_time,com.samsung.health.sleep.comment
57e39211-0df1-4468-a039-36523438b673,0.0,,,,com.sec.android.app.shealth,1546013503859,UTC-0400,1546013502018,,,0,Mz5pMh3q+T,,1545994200000,1546013503859,
77f5733b-c543-4086-a438-d7ccadf956f2,0.0,,,,com.sec.android.app.shealth,1542037609904,UTC-0400,1542033600000,,,0,Mz5pMh3q+T,,1542009000000,1542037609904,
b39389e2-89b6-afb7-ebaa-26ddfeb097ae,96.694214,,,1,com.sec.android.app.shealth,1520933414314,UTC-0300,1520932500000,,,,PEzvKidhug,,1520925300000,1520933414314,
87cc9072-15be-43f4-bccb-9220da282b1b,0.0,,,,com.sec.android.app.shealth,1484869940228,UTC-0400,1484585400000,,,0,Q2GTsbBv8Q,,1484553600000,1484869940228,
8687380d-ce57-6cb2-4818-e8b3a7e2bee3,99.21875,,,1,com.sec.android.app.shealth,1507017257546,UTC-0300,1507016340000,,,,PEzvKidhug,,1506985680000,1507017257546,
08b5255a-27ca-4f34-a4d6-617e67c828bc,0.0,,,,com.sec.android.app.shealth,1561029500014,UTC+0400,1561016400000,,,0,4V/TlqPcbG,,1560991800000,1561029500014,
1c0237a4-0bd0-46fb-9086-b2e200a2f99f,0.0,,,,com.sec.android.app.shealth,1520565002423,UTC-0400,1520520600000,,,0,EHdtKydEi4,,1520496600000,1520565002423,
2685f316-3600-4413-a56e-f7f2a318dbe1,0.0,,,,com.sec.android.app.shealth,1558024010262,UTC-0300,1558018200000,,,0,4V/TlqPcbG,,1557996000000,1558024010262,
15fc1e3a-0d9e-4e9f-9c18-46b0965491bf,0.0,,,,com.sec.android.app.shealth,1554732009118,UTC-0300,1554731400000,,,0,4V/TlqPcbG,,1554709200000,1554732009118,
ab9f0e55-827f-42fa-8c66-d702445e02d9,0.0,,,,com.sec.android.app.shealth,1545409967449,UTC-0400,1545409963421,,,0,Mz5pMh3q+T,,1545381000000,1545409967449,
801a45bf-d032-6d77-959e-343daae5d7e7,97.52066,,,1,com.sec.android.app.shealth,1507761398283,UTC-0300,1507760520000,,,,PEzvKidhug,,1507753320000,1507761398283,
cbde298c-dc0b-3d2f-fc68-0264be958432,98.73418,,,1,com.sec.android.app.shealth,1504681851320,UTC-0300,1504680960000,,,,PEzvKidhug,,1504666800000,1504681851320,
5b3f2e09-493b-4f35-abc9-17fc1d513862,0.0,,,,com.sec.android.app.shealth,1562777680326,UTC-0300,1562765400000,,,0,4V/TlqPcbG,,1562742000000,1562777680326,
bc79bfe4-d529-4f4f-8a90-cf8026eda456,0.0,,,,com.sec.android.app.shealth,1558620533300,UTC-0300,1558618800000,,,0,4V/TlqPcbG,,1558592400000,1558620533300,
3241b997-d549-40a8-9f67-95646eeb4937,0.0,,,,com.sec.android.app.shealth,1506880995972,UTC-0300,1506871200000,,,0,EHdtKydEi4,,1506843600000,1506880995972,
a0cc0270-af29-5189-9d66-0569466328bf,97.52066,,,1,com.sec.android.app.shealth,1504737128285,UTC-0300,1504736220000,,,,PEzvKidhug,,1504729020000,1504737128285,
79aa7850-35b1-4c32-9501-acd8ac7cc670,0.0,,,,com.sec.android.app.shealth,1539700295086,UTC-0300,1539690000000,,,0,Mz5pMh3q+T,,1539663600000,1539700295086,
03f48652-221e-8bc3-3398-1fce446e1e38,97.65625,,,1,com.sec.android.app.shealth,1507413040022,UTC-0300,1507412160000,,,,PEzvKidhug,,1507404540000,1507413040022,
7090bfd9-719c-4783-8a12-6b7815c30682,0.0,,,,com.sec.android.app.shealth,1556373935619,UTC-0300,1556371200000,,,0,4V/TlqPcbG,,1556346000000,1556373935619,
2abd8925-6275-5bdf-1cfd-4b3928b144e0,96.62921,,,1,com.sec.android.app.shealth,1504745287265,UTC-0300,1504744380000,,,,PEzvKidhug,,1504739100000,1504745287265,
8e2d79c9-9f47-42d3-93b7-867e902f5e50,0.0,,,,com.sec.android.app.shealth,1551123058716,UTC-0400,1551112200000,,,0,Mz5pMh3q+T,,1551081000000,1551123058716,
