com.samsung.health.step_count,6060029,6
create_time,distance,time_offset,custom,count,end_time,speed,deviceuuid,start_time,pkg_name,update_time,datauuid,calorie,sample_position_type
2019-08-23 06:57:50.443,8.4,UTC-0300,,11,2019-08-23 06:58:00.000,1.3333334,cfxbbbfj2r,2019-08-23 06:57:00.000,com.sec.android.app.shealth,2019-08-23 06:57:50.443,cb819c9c-2a2d-499d-80d4-3adb4b8e2266,0.45,
2019-08-23 17:08:24.043,16.47,UTC-0300,,22,2019-08-23 17:08:00.000,1.2222222,cfxbbbfj2r,2019-08-23 17:07:00.000,com.sec.android.app.shealth,2019-08-23 17:08:24.043,c8691bf2-1b4c-4d5c-97e4-c056d2517942,0.92,
2019-08-23 17:08:24.077,22.039999,UTC-0300,,30,2019-08-23 17:09:00.000,1.0268356,cfxbbbfj2r,2019-08-23 17:08:00.000,com.sec.android.app.shealth,2019-08-23 17:08:26.388,75354794-64bb-419d-a917-1c22ef938bb4,1.2499999,
2019-08-23 17:29:28.151,21.61,UTC-0300,,29,2019-08-23 17:28:00.000,1.0555556,cfxbbbfj2r,2019-08-23 17:27:00.000,com.sec.android.app.shealth,2019-08-23 17:29:28.151,9fdf7054-da32-42fb-9d99-da8a916d2342,1.22,
2019-08-23 17:29:28.167,47.3,UTC-0300,,64,2019-08-23 17:29:00.000,1.0555556,cfxbbbfj2r,2019-08-23 17:28:00.000,com.sec.android.app.shealth,2019-08-23 17:29:28.167,0b63410b-af27-4d99-a473-b7e9c3ef829f,2.64,
2019-08-23 17:29:28.198,32.47,UTC-0300,,44,2019-08-23 17:30:00.000,1.0255902,cfxbbbfj2r,2019-08-23 17:29:00.000,com.sec.android.app.shealth,2019-08-23 17:29:34.149,bd7e398f-f095-450b-bf55-207c93d1c2ac,1.7999998,
2019-08-23 17:55:00.783,11.82,UTC-0300,,10,2019-08-23 17:55:00.000,3.6944444,cfxbbbfj2r,2019-08-23 17:54:00.000,com.sec.android.app.shealth,2019-08-23 17:55:00.783,7e23a01c-037b-4548-99ef-3f57843ae8ca,0.81,
2019-08-23 21:57:32.022,13.740001,UTC-0300,,18,2019-08-23 21:58:00.000,1.2358592,cfxbbbfj2r,2019-08-23 21:57:00.000,com.sec.android.app.shealth,2019-08-23 21:57:37.069,25dd31c1-b80a-438f-8651-2551e1b94bab,0.7400001,
2019-08-24 01:31:27.055,11.08,UTC-0300,,15,2019-08-24 01:27:00.000,0.9166667,cfxbbbfj2r,2019-08-24 01:26:00.000,com.sec.android.app.shealth,2019-08-24 01:31:27.055,6eaa618e-6f3d-4929-91c7-fffc088a35ad,0.64,
2019-08-24 01:31:27.072,15.44,UTC-0300,,21,2019-08-24 01:28:00.000,1.0,cfxbbbfj2r,2019-08-24 01:27:00.000,com.sec.android.app.shealth,2019-08-24 01:31:27.072,278ef1c5-198a-48c6-9d57-12880866e5f7,0.88,
2019-08-24 01:31:27.106,18.18,UTC-0300,,25,2019-08-24 01:29:00.000,0.97222215,cfxbbbfj2r,2019-08-24 01:28:00.000,com.sec.android.app.shealth,2019-08-24 01:31:27.106,717a8fb8-cb2e-42ba-a090-3d68e6de5438,1.05,
2019-08-24 01:31:27.123,35.95,UTC-0300,,49,2019-08-24 01:30:00.000,1.0000001,cfxbbbfj2r,2019-08-24 01:29:00.000,com.sec.android.app.shealth,2019-08-24 01:31:27.123,f94fbd07-dea7-447d-9720-bab70d6bbdf9,2.04,
2019-08-24 01:31:27.143,53.04,UTC-0300,,72,2019-08-24 01:31:00.000,1.0,cfxbbbfj2r,2019-08-24 01:30:00.000,com.sec.android.app.shealth,2019-08-24 01:31:27.143,99cded0b-aad2-4884-9823-524e54baab7d,2.97,
2019-08-24 01:31:27.160,27.04,UTC-0300,,37,2019-08-24 01:32:00.000,0.98474085,cfxbbbfj2r,2019-08-24 01:31:00.000,com.sec.android.app.shealth,2019-08-24 01:31:28.014,3e1d57c0-2d11-4024-a1c7-f11675863476,1.52,
2019-08-24 06:55:02.090,11.48,UTC-0300,,15,2019-08-24 06:55:00.000,1.1666666,cfxbbbfj2r,2019-08-24 06:54:00.000,com.sec.android.app.shealth,2019-08-24 06:55:02.090,a6d8baa3-d22b-4487-b35c-52a49870b88b,0.63,
2019-08-24 07:56:45.402,4.4,UTC-0300,,6,2019-08-24 07:57:00.000,1.0555555,cfxbbbfj2r,2019-08-24 07:56:00.000,com.sec.android.app.shealth,2019-08-24 07:56:45.402,713f1b95-f56f-46ac-bf75-73d44fbe80b5,0.26,
2019-08-24 08:05:20.872,10.09,UTC-0300,,14,2019-08-24 08:06:00.000,0.9205306,cfxbbbfj2r,2019-08-24 08:05:00.000,com.sec.android.app.shealth,2019-08-24 08:05:22.012,b6c9610d-25b6-4224-a901-4c16255367a9,0.58000004,
